Wall time,Step,Value
1651426563.9912803,5200,2.4477949409629218e-05
1651426570.24635,5300,2.3095153665053658e-05
1651426576.4742343,5400,2.1855537852388807e-05
1651426582.8056142,5500,2.0486899302341044e-05
1651426589.0705514,5600,1.9252753190812655e-05
1651426595.3602207,5700,1.7983953512157314e-05
1651426601.6793494,5800,1.664642149989959e-05
1651426607.9015205,5900,1.5264433386619203e-05
1651426614.1331048,6000,1.4094705875322688e-05
1651426620.5169814,6100,1.3399349882092793e-05
1651426626.841614,6200,1.2864811651525088e-05
1651426633.1905415,6300,1.2172768037999049e-05
1651426639.5376546,6400,1.1740477930288762e-05
1651426645.918395,6500,1.1031592293875292e-05
1651426652.2584774,6600,1.0509538697078824e-05
1651426658.4467819,6700,9.946890713763423e-06
1651426664.8149505,6800,9.245273759006523e-06
1651426671.1889887,6900,8.638236977276392e-06
1651426677.572432,7000,8.169723514583893e-06
1651426683.9250457,7100,7.851572263462003e-06
1651426690.2388794,7200,7.566789918200811e-06
1651426696.3385508,7300,7.3640644586703274e-06
1651426702.6738443,7400,7.038318472041283e-06
1651426709.0196812,7500,6.832036888226867e-06
1651426715.3626885,7600,6.53980850984226e-06
1651426721.6239698,7700,6.288100394158391e-06
1651426727.9108925,7800,5.987931217532605e-06
1651426734.237248,7900,5.722230980609311e-06
1651426740.518317,8000,5.5045711633283645e-06
1651426746.8927386,8100,5.315915132086957e-06
1651426753.1803005,8200,5.2113337005721405e-06
1651426759.4308207,8300,5.059789600636577e-06
1651426765.6768508,8400,4.92777826366364e-06
1651426771.9857242,8500,4.7950888983905315e-06
1651426778.2691689,8600,4.651262770494213e-06
1651426784.6128857,8700,4.546478066913551e-06
1651426790.9613624,8800,4.393445578898536e-06
1651426797.201998,8900,4.253908173268428e-06
1651426803.4684668,9000,4.1396665437787306e-06
1651426809.7167237,9100,4.077244284417247e-06
1651426815.9203057,9200,3.997245130449301e-06
1651426822.1443937,9300,3.926897534256568e-06
1651426828.348017,9400,3.862698122247821e-06
1651426834.5412295,9500,3.7664267438231036e-06
1651426840.835701,9600,3.7080797028465895e-06
1651426847.1342669,9700,3.6386306874192087e-06
1651426853.2812643,9800,3.5846096579916775e-06
1651426859.6007981,9900,3.467069973339676e-06
1651426865.880018,10000,3.407283656997606e-06
1651426872.1668167,10100,3.3690944292175118e-06
1651426878.3844168,10200,3.3577141493879026e-06
1651426884.6821291,10300,3.294020416433341e-06
1651426890.9336505,10400,3.249436531405081e-06
1651426897.2588243,10500,3.2197658583754674e-06
1651426903.5516572,10600,3.1959514217305696e-06
1651426909.8604715,10700,3.1408890208695084e-06
1651426915.9880273,10800,3.0869830425217515e-06
1651426922.3625064,10900,3.0552371299563674e-06
1651426928.8408065,11000,3.034664359802264e-06
1651426935.254782,11100,2.981771558552282e-06
1651426941.7693589,11200,2.9793643534503644e-06
1651426948.2216241,11300,2.9426396395138e-06
1651426954.6330884,11400,2.919536655099364e-06
1651426960.9952056,11500,2.918953441621852e-06
1651426967.3389003,11600,2.8730737540172413e-06
1651426973.7437022,11700,2.8434762953111203e-06
1651426980.2519693,11800,2.8117160582041834e-06
1651426986.8070705,11900,2.790744929370703e-06
1651426993.2504804,12000,2.789357267829473e-06
1651426999.5670087,12100,2.764470991678536e-06
1651427006.0273957,12200,2.7514140583662083e-06
1651427012.5306509,12300,2.7491641958476976e-06
1651427018.9404826,12400,2.7269547899777535e-06
1651427025.3518624,12500,2.7124629013997037e-06
1651427031.8637333,12600,2.700252252907376e-06
1651427038.3414826,12700,2.6707439246820286e-06
1651427044.7155252,12800,2.664828343768022e-06
1651427051.0146303,12900,2.6407233235659078e-06
1651427057.322395,13000,2.6356071884947596e-06
1651427063.7406256,13100,2.6253544547216734e-06
1651427070.1086736,13200,2.623641876198235e-06
1651427076.4474845,13300,2.6109516966243973e-06
1651427082.786848,13400,2.6041166165668983e-06
1651427089.1907344,13500,2.590308213257231e-06
1651427095.633523,13600,2.5870849640341476e-06
1651427102.029957,13700,2.5787417143874336e-06
1651427108.5392437,13800,2.565594058978604e-06
1651427115.003714,13900,2.5526344415993663e-06
1651427121.4567122,14000,2.5559675123076886e-06
1651427127.853968,14100,2.547892790971673e-06
1651427134.352343,14200,2.538328544687829e-06
1651427140.801905,14300,2.534128725528717e-06
1651427147.1712377,14400,2.5285137326136464e-06
1651427153.6114936,14500,2.5265419481002027e-06
1651427160.0554056,14600,2.5168744741677074e-06
1651427166.4864776,14700,2.519250529076089e-06
1651427172.8803241,14800,2.5098322566918796e-06
1651427179.2786136,14900,2.5088113488891395e-06
1651427185.7241652,15000,2.5005531369970413e-06
1651427192.1775107,15100,2.4955079425126314e-06
1651427198.6037786,15200,2.493373131073895e-06
1651427204.9740977,15300,2.493662577762734e-06
1651427211.4027894,15400,2.4942007712525083e-06
1651427217.7509007,15500,2.4858782126102597e-06
1651427224.118303,15600,2.4853281956893625e-06
1651427230.4227643,15700,2.484033757355064e-06
1651427236.8529167,15800,2.476766667314223e-06
1651427243.3131113,15900,2.4758639938227134e-06
1651427249.716937,16000,2.4734022190386895e-06
1651427256.0795717,16100,2.4750454485911177e-06
1651427262.4203231,16200,2.472570486133918e-06
1651427268.7962499,16300,2.4704136194486637e-06
1651427275.1494312,16400,2.470534354870324e-06
1651427281.49488,16500,2.4685889457032317e-06
1651427287.724275,16600,2.46859053731896e-06
1651427294.1178312,16700,2.4633075099700363e-06
1651427300.567949,16800,2.464302497173776e-06
1651427307.0092587,16900,2.464688805048354e-06
1651427313.3858232,17000,2.4624448542454047e-06
1651427319.7873607,17100,2.461050144120236e-06
1651427326.1656797,17200,2.4613091227365658e-06
1651427332.5824394,17300,2.461626309013809e-06
1651427338.939294,17400,2.4597786705271574e-06
1651427345.2480507,17500,2.4596329240011983e-06
1651427351.5274694,17600,2.4582684545748634e-06
1651427357.792025,17700,2.4558939912822098e-06
1651427364.156134,17800,2.457775281072827e-06
1651427370.5398984,17900,2.457651589793386e-06
1651427376.901079,18000,2.458163635310484e-06
1651427383.2421308,18100,2.457016989865224e-06
1651427389.506032,18200,2.457078153383918e-06
1651427394.2353976,18300,2.4561575173720485e-06
1651427400.1845222,18400,2.4564458271925105e-06
