Wall time,Step,Value
1651426234.2207267,0,0.29819488525390625
1651426258.3339295,100,0.016658950597047806
1651426282.7927575,200,0.013833415694534779
1651426307.6148703,300,0.005383090581744909
1651426332.4032679,400,0.011659791693091393
1651426357.394683,500,0.00965917855501175
1651426382.6868892,600,0.009988968260586262
1651426407.9834595,700,0.010214733891189098
1651426433.6293821,800,0.007477577775716782
1651426459.1540992,900,0.00082101218868047
1651426484.7102273,1000,0.00018709292635321617
1651426510.2249067,1100,0.00015253420860972255
1651426535.9100254,1200,0.00012384467117954046
1651426561.5723653,1300,8.747717220103368e-05
1651426586.9464617,1400,5.182582754059695e-05
1651426612.3795836,1500,3.547314554452896e-05
1651426638.0306683,1600,3.406164614716545e-05
1651426663.6897514,1700,1.309824892814504e-05
1651426689.4873726,1800,1.4342061149363872e-05
1651426715.1541507,1900,8.941521628003102e-06
1651426740.7122152,2000,1.695839273452293e-05
1651426766.2707381,2100,6.2810904637444764e-06
1651426791.6550217,2200,5.598394182015909e-06
1651426817.1640928,2300,5.187401256989688e-06
1651426842.6310701,2400,4.778970833285712e-06
1651426868.2280138,2500,4.469389295991277e-06
1651426894.0648673,2600,4.202705440548016e-06
1651426920.2387571,2700,3.9965448195289355e-06
1651426946.1205888,2800,3.7184145185165107e-06
1651426972.0547993,2900,3.517788854878745e-06
1651426998.1116967,3000,3.3066778541979147e-06
1651427023.8076298,3100,3.2445484521304024e-06
1651427049.6237288,3200,3.165898078805185e-06
1651427075.2612255,3300,3.0587987112085102e-06
1651427100.9788573,3400,2.9865750548196957e-06
1651427126.670549,3500,2.8720248792524217e-06
1651427152.077183,3600,2.7798982955573592e-06
1651427177.722423,3700,2.6935863388644066e-06
1651427203.218831,3800,2.592278178781271e-06
1651427228.595075,3900,2.5236968212993816e-06
1651427254.2059088,4000,2.4358375867450377e-06
1651427279.628328,4100,2.370049742239644e-06
1651427305.2327836,4200,2.330486040591495e-06
1651427330.8196728,4300,2.2835322397440905e-06
1651427356.6640606,4400,2.248832288387348e-06
1651427382.4830287,4500,2.1937707970209885e-06
1651427408.4319627,4600,2.148244675481692e-06
1651427434.74274,4700,2.0894738099741517e-06
1651427460.3250318,4800,2.051309593298356e-06
1651427485.8744051,4900,1.98540260498703e-06
