Wall time,Step,Value
1651019347.4537265,0,0.2575800120830536
1651019355.6858468,100,0.03551530838012695
1651019363.9338706,200,0.016915056854486465
1651019372.2537735,300,0.05176161602139473
1651019380.3858263,400,0.052538421005010605
1651019388.6231244,500,0.049062322825193405
1651019396.9296923,600,0.027792159467935562
1651019405.1405644,700,0.4589659869670868
1651019413.3762684,800,0.04267925024032593
1651019421.633643,900,0.045389167964458466
1651019429.8551958,1000,0.027501177042722702
1651019438.0928006,1100,0.00021007041505072266
1651019446.3733702,1200,3.884243778884411e-05
1651019454.5292861,1300,2.611680065456312e-05
1651019462.77669,1400,0.0009852437069639564
1651019470.9968328,1500,1.6080248315120116e-05
1651019479.2052925,1600,0.00044087870628573
1651019487.4447742,1700,9.904581929731648e-06
1651019496.7943053,1800,8.581974725530017e-06
1651019508.4843185,1900,9.814869372348767e-06
1651019520.5530584,2000,5.167955350771081e-06
1651019532.656747,2100,4.494228960538749e-06
1651019544.62986,2200,4.010545126220677e-06
1651019556.4519608,2300,3.509547696012305e-06
1651019568.58079,2400,3.1390957246912876e-06
1651019580.8787024,2500,2.7615753879217664e-06
1651019593.064794,2600,2.4284395294671413e-06
1651019605.0970936,2700,2.166664671676699e-06
1651019617.245393,2800,1.9391666228329996e-06
1651019629.3264666,2900,1.8110291648554266e-06
1651019641.508192,3000,1.6273683058898314e-06
1651019653.4768698,3100,1.4971359405535622e-06
1651019665.4540823,3200,1.4025652035343228e-06
1651019677.5708995,3300,1.3517570778276422e-06
1651019689.5151262,3400,1.2824855275539448e-06
1651019701.7324586,3500,1.2186103504063794e-06
1651019713.9820771,3600,1.1562660802155733e-06
1651019726.105705,3700,1.0966182344418485e-06
1651019738.318807,3800,1.045336716742895e-06
1651019750.410673,3900,1.0000183010561159e-06
1651019762.7038426,4000,9.629173973735305e-07
1651019774.911867,4100,9.364250104226812e-07
1651019787.1996837,4200,9.182238613902882e-07
1651019799.281386,4300,8.960849413597316e-07
1651019811.279745,4400,8.847349590723752e-07
1651019823.3148327,4500,8.662424875183206e-07
1651019835.5533092,4600,8.36517870084208e-07
1651019847.53553,4700,8.199685339604912e-07
1651019859.8609736,4800,8.015819048523554e-07
1651019872.1527352,4900,7.821381586836651e-07
1651019884.5658631,5000,7.643051276318147e-07
1651019896.3706172,5100,7.530803145527898e-07
1651019908.419037,5200,7.470987384294858e-07
1651019920.933173,5300,7.34005141111993e-07
1651019933.013751,5400,7.319574137909513e-07
1651019945.1944141,5500,7.187851451817551e-07
1651019957.2935297,5600,7.118704274944321e-07
1651019969.2612133,5700,7.006909754636581e-07
1651019981.644248,5800,6.916872052897816e-07
1651019993.9525998,5900,6.858010692667449e-07
1651020006.2011533,6000,6.782608465982776e-07
1651020017.917198,6100,6.715297899972938e-07
1651020029.9458342,6200,6.687042741759797e-07
1651020042.0052388,6300,6.651072226304677e-07
1651020054.1351364,6400,6.567339028151764e-07
1651020066.2774773,6500,6.542845198964642e-07
1651020078.6599994,6600,6.48800039471098e-07
1651020090.851988,6700,6.431394012906821e-07
1651020103.1083364,6800,6.398490199899243e-07
1651020115.354433,6900,6.334384465844778e-07
1651020127.4771988,7000,6.256738629417669e-07
1651020139.7329984,7100,6.283572133725102e-07
1651020152.0910864,7200,6.247360602174012e-07
1651020164.552473,7300,6.228025881682697e-07
1651020177.093681,7400,6.184079097693029e-07
1651020189.493718,7500,6.1620505675819e-07
1651020202.0199842,7600,6.109120818109659e-07
1651020214.5863864,7700,6.095513640502759e-07
1651020227.1741192,7800,6.083630523789907e-07
1651020239.6264925,7900,6.019685656610818e-07
1651020252.1327982,8000,5.988771363263368e-07
1651020264.6532521,8100,5.975132353341905e-07
1651020277.281568,8200,5.960864655207843e-07
1651020289.7830572,8300,5.941691370026092e-07
1651020302.4368103,8400,5.918092256251839e-07
1651020314.9697332,8500,5.89047715493507e-07
1651020327.4603803,8600,5.895655021959101e-07
1651020339.9608283,8700,5.860314331584959e-07
1651020352.5267394,8800,5.844108841301932e-07
1651020365.0834317,8900,5.813145094180072e-07
1651020377.6276457,9000,5.792825277239899e-07
1651020390.1659184,9100,5.784099244010577e-07
1651020402.388248,9200,5.789829060631746e-07
1651020414.7062705,9300,5.758085421803116e-07
1651020427.1981037,9400,5.741925974689366e-07
1651020439.5844986,9500,5.736144998991222e-07
1651020452.1640222,9600,5.7298240108139e-07
1651020464.4526334,9700,5.711583526135655e-07
1651020477.0457137,9800,5.696034008906281e-07
1651020489.1207702,9900,5.653304810948612e-07
1651020501.5721219,10000,5.664961122420209e-07
1651020513.9094524,10100,5.647520993079524e-07
1651020526.1269264,10200,5.641357461172447e-07
1651020538.5478501,10300,5.633060027321335e-07
1651020550.9875972,10400,5.613172220364504e-07
1651020563.3517582,10500,5.59838213121111e-07
1651020575.6176703,10600,5.596033361143782e-07
1651020588.1062617,10700,5.600420536211459e-07
1651020600.6129727,10800,5.584618065768154e-07
1651020612.7936335,10900,5.552107609219092e-07
1651020625.1335607,11000,5.561867055803305e-07
1651020637.530005,11100,5.542055419027747e-07
1651020649.9306264,11200,5.547320824916824e-07
1651020662.2322998,11300,5.528296469492489e-07
1651020674.492519,11400,5.513270480150823e-07
1651020686.952722,11500,5.514461918210145e-07
1651020699.3417668,11600,5.518157877304475e-07
1651020711.692478,11700,5.500596103047428e-07
1651020723.996695,11800,5.501474333868828e-07
1651020736.2383175,11900,5.470761834658333e-07
1651020748.563669,12000,5.463018624141114e-07
1651020760.7410874,12100,5.46996659522847e-07
1651020773.0642617,12200,5.460542524815537e-07
1651020785.3318217,12300,5.457924316942808e-07
1651020797.6762948,12400,5.467661026159476e-07
1651020810.1924634,12500,5.443855570774758e-07
1651020822.747722,12600,5.447946591630171e-07
1651020835.2202234,12700,5.427522182799294e-07
1651020847.782895,12800,5.42981069884263e-07
1651020860.2341871,12900,5.401553835326922e-07
1651020872.5476592,13000,5.40493999778846e-07
1651020884.4798906,13100,5.396601636675769e-07
1651020896.7244396,13200,5.405206024988729e-07
1651020908.9824557,13300,5.392857360675407e-07
1651020920.9233139,13400,5.390631940827006e-07
1651020933.1689038,13500,5.396963160819723e-07
1651020945.8447552,13600,5.382659651331778e-07
1651020958.3586519,13700,5.386361294767994e-07
1651020970.6604617,13800,5.374035936256405e-07
1651020982.8175008,13900,5.372900773181755e-07
1651020995.0260618,14000,5.360510613172664e-07
1651021007.3345942,14100,5.362626325222664e-07
1651021019.6008732,14200,5.361563353289966e-07
1651021032.1259124,14300,5.363198738450592e-07
1651021044.6271882,14400,5.361608828025055e-07
1651021057.0360997,14500,5.350671585802047e-07
1651021069.5103698,14600,5.352056291485496e-07
1651021081.9387634,14700,5.344339228940953e-07
1651021094.336101,14800,5.338725941328448e-07
1651021106.841428,14900,5.35014748948015e-07
1651021119.3443778,15000,5.341507858247496e-07
1651021131.7834296,15100,5.340784809959587e-07
1651021144.2406445,15200,5.332576620276086e-07
1651021156.5545974,15300,5.329896453076799e-07
1651021168.878394,15400,5.328864176590287e-07
1651021181.538318,15500,5.321043659023417e-07
1651021194.0321655,15600,5.315815769790788e-07
1651021206.4693508,15700,5.322531819729193e-07
1651021218.9161885,15800,5.320080163073726e-07
1651021231.2948167,15900,5.322036145116726e-07
1651021243.7386606,16000,5.308383492774738e-07
1651021256.1974185,16100,5.311397899276926e-07
1651021268.498407,16200,5.308552317728754e-07
1651021280.8083055,16300,5.302327963363496e-07
1651021293.0658379,16400,5.305919330567122e-07
1651021305.3876193,16500,5.31102898548852e-07
1651021317.8338149,16600,5.296739118421101e-07
1651021330.3547945,16700,5.299735335029254e-07
1651021342.733905,16800,5.300270800034923e-07
1651021355.110867,16900,5.294845095704659e-07
1651021367.486142,17000,5.294559173307789e-07
1651021379.906882,17100,5.296843710311805e-07
1651021392.1193788,17200,5.289852538226114e-07
1651021404.4063091,17300,5.295760274748318e-07
1651021416.830861,17400,5.291743718771613e-07
1651021429.0300314,17500,5.294860443427751e-07
1651021441.3412638,17600,5.288449642648629e-07
1651021453.5120416,17700,5.293173330755963e-07
1651021465.853829,17800,5.291797151585342e-07
1651021478.2207577,17900,5.291656748340756e-07
1651021490.5209832,18000,5.286942723614629e-07
1651021502.992955,18100,5.285622819428681e-07
1651021515.3658257,18200,5.286250939207093e-07
1651021527.8183541,18300,5.2847985898552e-07
1651021540.2817323,18400,5.283016548673913e-07
1651021552.7180192,18500,5.284287567519641e-07
1651021564.9273183,18600,5.28723660409014e-07
1651021577.3070087,18700,5.286186706143781e-07
1651021589.7869093,18800,5.284169901642599e-07
1651021602.2481818,18900,5.284859412313381e-07
1651021614.275158,19000,5.284339295030804e-07
1651021626.8204365,19100,5.281968924464309e-07
1651021639.1602557,19200,5.282055326460977e-07
1651021651.37365,19300,5.28321379533736e-07
1651021663.5997,19400,5.282522010929824e-07
1651021676.06002,19500,5.283424684421334e-07
1651021688.3506641,19600,5.282494157654583e-07
1651021700.5273674,19700,5.282285542307363e-07
1651021712.9997525,19800,5.282495862957148e-07
1651021725.1243572,19900,5.282347501633922e-07
1651021737.3943102,20000,5.281160042613919e-07
1651021749.7205155,20100,5.281168569126748e-07
1651021762.1386724,20200,5.281601715978468e-07
1651021774.421487,20300,5.281057156025781e-07
1651021787.0212455,20400,5.281299308990128e-07
