Wall time,Step,Value
1651019126.1373177,0,0.2571430802345276
1651019130.7336597,100,0.03480387479066849
1651019136.6689117,200,0.0002630843373481184
1651019142.6405156,300,8.178364078048617e-05
1651019148.404281,400,7.380908937193453e-05
1651019154.3269467,500,6.807465251768008e-05
1651019160.328917,600,5.8328801969764754e-05
1651019166.289875,700,6.635559839196503e-05
1651019172.2606323,800,0.00023309994139708579
1651019178.164178,900,2.744526500464417e-05
1651019184.0943143,1000,3.183315129717812e-05
1651019190.0872037,1100,2.3037311621010303e-05
1651019195.979083,1200,1.9626086213975213e-05
1651019201.9222653,1300,1.7043304978869855e-05
1651019207.8238406,1400,1.4861177078273613e-05
1651019213.7840247,1500,1.3228665920905769e-05
1651019219.5979395,1600,1.1727413948392496e-05
1651019225.558517,1700,1.0284669770044275e-05
1651019231.4714172,1800,8.936551239457913e-06
1651019237.382533,1900,7.833006748114713e-06
1651019243.1531482,2000,6.226888217497617e-05
1651019249.174198,2100,6.334137651720084e-06
1651019255.115755,2200,5.884126039745752e-06
1651019261.0656645,2300,5.534316642297199e-06
1651019267.06075,2400,4.9998011490970384e-06
1651019272.9617543,2500,4.6488507905451115e-06
1651019278.8841887,2600,4.302032266423339e-06
1651019284.7999468,2700,3.89734532291186e-06
1651019290.7731109,2800,3.6015881050843745e-06
1651019296.6592696,2900,3.2178718356590252e-06
1651019302.5804543,3000,2.9483069283742225e-06
1651019308.440372,3100,2.826009222189896e-06
1651019314.2855318,3200,2.684381570361438e-06
1651019320.0957937,3300,2.569910748206894e-06
1651019326.0753517,3400,2.4287976430059643e-06
1651019332.0516176,3500,2.3022719233267708e-06
1651019337.8791065,3600,2.1749501684098504e-06
1651019343.8853455,3700,2.0736119950015564e-06
1651019350.0093598,3800,1.9693079593707807e-06
1651019356.2716353,3900,1.8458766817275318e-06
1651019362.5158412,4000,1.757746645125735e-06
1651019368.5832143,4100,1.7210028318004333e-06
1651019374.7208793,4200,1.6752452438595355e-06
1651019380.8820825,4300,1.6262220015050843e-06
1651019386.9720805,4400,1.593083652551286e-06
1651019393.1677082,4500,1.5375854900412378e-06
1651019399.366817,4600,1.5054517916723853e-06
1651019405.5248046,4700,1.4558095244865399e-06
1651019411.7372375,4800,1.4165838138069375e-06
1651019417.9112039,4900,1.395156687067356e-06
1651019424.1161375,5000,1.3590630487669841e-06
1651019430.2948923,5100,1.3318303899723105e-06
1651019436.5400493,5200,1.3203745083956164e-06
1651019442.765205,5300,1.2971405567441252e-06
1651019448.8884077,5400,1.2937964584125439e-06
1651019455.107803,5500,1.264704906134284e-06
1651019461.2734964,5600,1.2412315300025512e-06
1651019467.4893785,5700,1.2281509498279775e-06
1651019473.7177022,5800,1.2121922736696433e-06
1651019479.9206963,5900,1.2051548310409999e-06
1651019486.101638,6000,1.1879193380082143e-06
1651019492.4253552,6100,1.1819709015981061e-06
1651019499.8971138,6200,1.1658418088700273e-06
1651019507.637913,6300,1.1654818763418007e-06
1651019515.2767365,6400,1.15903458208777e-06
1651019522.903737,6500,1.1426312767071067e-06
1651019530.5768363,6600,1.1436025033617625e-06
1651019538.1694615,6700,1.1291961072856793e-06
1651019545.861082,6800,1.1291881492070388e-06
1651019553.5433552,6900,1.1192583997399197e-06
1651019561.183707,7000,1.1151793160024681e-06
1651019568.684868,7100,1.1133810176033876e-06
1651019576.0957944,7200,1.108303877117578e-06
1651019583.588004,7300,1.1061760005759425e-06
1651019591.1270754,7400,1.100090457839542e-06
1651019598.6198294,7500,1.092071897801361e-06
1651019606.156749,7600,1.0825211802512058e-06
1651019613.7027326,7700,1.0841356470336905e-06
1651019621.2660728,7800,1.0862515864573652e-06
1651019628.784579,7900,1.071314727596473e-06
1651019636.3228245,8000,1.0796364904308575e-06
1651019643.8673267,8100,1.070033590622188e-06
1651019651.465598,8200,1.0695122227843967e-06
1651019659.0730727,8300,1.068748815669096e-06
1651019666.5898662,8400,1.0658532119123265e-06
1651019674.1168566,8500,1.0602656175251468e-06
1651019681.7204096,8600,1.0646375585565693e-06
1651019689.3447583,8700,1.0585878271740512e-06
1651019696.8847983,8800,1.0536626859902753e-06
1651019704.4637275,8900,1.0529516885071644e-06
1651019711.9645152,9000,1.0506830676604295e-06
1651019719.518373,9100,1.0502778877707897e-06
1651019726.9755185,9200,1.0490798558748793e-06
1651019734.4829254,9300,1.0459759778314037e-06
1651019742.0828137,9400,1.0448342209201655e-06
1651019749.6818907,9500,1.0496195272935438e-06
1651019757.1939037,9600,1.0425820846649003e-06
1651019764.742891,9700,1.0468760365256458e-06
1651019772.2994182,9800,1.0437496484883013e-06
1651019779.8385997,9900,1.041431005432969e-06
1651019787.5573606,10000,1.038649088513921e-06
1651019795.238099,10100,1.0426639391880599e-06
1651019803.0011113,10200,1.03959371244855e-06
1651019810.7190187,10300,1.0431912187414127e-06
1651019818.418427,10400,1.0365399703005096e-06
1651019826.1498444,10500,1.0377453918408719e-06
1651019833.826271,10600,1.038455138768768e-06
1651019841.5346885,10700,1.0366879905632231e-06
1651019849.2272372,10800,1.0344461998101906e-06
1651019856.9472578,10900,1.0352645176681108e-06
1651019864.7015774,11000,1.0347207535232883e-06
1651019872.3823297,11100,1.0350285037930007e-06
1651019880.0777237,11200,1.0319560033167363e-06
1651019887.828802,11300,1.0365982916482608e-06
1651019895.5506353,11400,1.0319778311895789e-06
1651019903.2739775,11500,1.0310279776604148e-06
1651019911.012073,11600,1.0303718909199233e-06
1651019918.7130008,11700,1.0285511962138116e-06
1651019926.4279532,11800,1.030912699206965e-06
1651019934.209067,11900,1.0315169447494554e-06
1651019941.9345737,12000,1.0299492032572743e-06
1651019949.614471,12100,1.029604277391627e-06
1651019957.336244,12200,1.0271497785652173e-06
