It: 0, Loss: 4.484e+03, l1: 0.001, l2: 0.00100, Time: 0.06
It: 100, Loss: 4.152e+03, l1: 0.032, l2: 0.00536, Time: 4.15
It: 200, Loss: 3.352e+03, l1: 0.249, l2: 0.13012, Time: 4.26
It: 300, Loss: 2.208e+03, l1: 0.160, l2: 0.24605, Time: 4.83
It: 400, Loss: 1.271e+03, l1: 0.043, l2: 0.14566, Time: 3.90
It: 500, Loss: 8.854e+02, l1: 0.051, l2: 0.07632, Time: 4.07
It: 600, Loss: 8.096e+02, l1: 0.076, l2: 0.05240, Time: 4.13
It: 700, Loss: 7.952e+02, l1: 0.105, l2: 0.04589, Time: 5.75
It: 800, Loss: 7.886e+02, l1: 0.092, l2: 0.02754, Time: 5.36
It: 900, Loss: 7.850e+02, l1: 0.078, l2: 0.00934, Time: 3.98
It: 1000, Loss: 7.830e+02, l1: 0.069, l2: -0.00334, Time: 3.89
It: 1100, Loss: 7.816e+02, l1: 0.063, l2: -0.01211, Time: 4.09
It: 1200, Loss: 7.805e+02, l1: 0.059, l2: -0.02064, Time: 3.89
It: 1300, Loss: 7.794e+02, l1: 0.057, l2: -0.03035, Time: 4.03
It: 1400, Loss: 7.783e+02, l1: 0.056, l2: -0.03933, Time: 3.93
It: 1500, Loss: 7.772e+02, l1: 0.055, l2: -0.04432, Time: 3.90
It: 1600, Loss: 7.761e+02, l1: 0.055, l2: -0.04526, Time: 3.91
It: 1700, Loss: 7.750e+02, l1: 0.055, l2: -0.04213, Time: 3.98
It: 1800, Loss: 7.739e+02, l1: 0.056, l2: -0.03651, Time: 3.96
It: 1900, Loss: 7.727e+02, l1: 0.058, l2: -0.02795, Time: 3.84
It: 2000, Loss: 7.717e+02, l1: 0.057, l2: -0.01650, Time: 3.88
It: 2100, Loss: 7.706e+02, l1: 0.056, l2: -0.00331, Time: 3.99
It: 2200, Loss: 7.695e+02, l1: 0.056, l2: 0.01019, Time: 3.84
It: 2300, Loss: 7.684e+02, l1: 0.057, l2: 0.02349, Time: 3.85
It: 2400, Loss: 7.672e+02, l1: 0.062, l2: 0.03667, Time: 3.18
It: 2500, Loss: 7.660e+02, l1: 0.069, l2: 0.05048, Time: 3.86
It: 2600, Loss: 7.647e+02, l1: 0.080, l2: 0.06570, Time: 3.88
It: 2700, Loss: 7.633e+02, l1: 0.094, l2: 0.08132, Time: 3.86
It: 2800, Loss: 7.619e+02, l1: 0.111, l2: 0.09405, Time: 3.87
It: 2900, Loss: 7.603e+02, l1: 0.125, l2: 0.09525, Time: 3.90
It: 3000, Loss: 7.586e+02, l1: 0.132, l2: 0.07991, Time: 3.79
It: 3100, Loss: 7.568e+02, l1: 0.132, l2: 0.05245, Time: 3.85
It: 3200, Loss: 7.549e+02, l1: 0.123, l2: 0.02156, Time: 3.85
It: 3300, Loss: 7.528e+02, l1: 0.108, l2: -0.00425, Time: 3.85
It: 3400, Loss: 7.505e+02, l1: 0.086, l2: -0.01896, Time: 3.93
It: 3500, Loss: 7.481e+02, l1: 0.056, l2: -0.02174, Time: 3.87
It: 3600, Loss: 7.454e+02, l1: 0.025, l2: -0.01562, Time: 3.89
It: 3700, Loss: 7.424e+02, l1: -0.001, l2: -0.00962, Time: 3.87
It: 3800, Loss: 7.388e+02, l1: -0.016, l2: -0.00529, Time: 3.92
It: 3900, Loss: 7.344e+02, l1: -0.014, l2: -0.00372, Time: 3.93
It: 4000, Loss: 7.290e+02, l1: -0.000, l2: -0.00538, Time: 3.83
It: 4100, Loss: 7.224e+02, l1: 0.010, l2: -0.00522, Time: 3.83
It: 4200, Loss: 7.143e+02, l1: 0.017, l2: -0.00221, Time: 3.84
It: 4300, Loss: 7.043e+02, l1: 0.021, l2: 0.00076, Time: 3.93
It: 4400, Loss: 6.924e+02, l1: 0.010, l2: 0.00119, Time: 3.81
It: 4500, Loss: 6.788e+02, l1: -0.005, l2: 0.00034, Time: 3.84
It: 4600, Loss: 6.645e+02, l1: -0.011, l2: -0.00023, Time: 3.99
It: 4700, Loss: 6.503e+02, l1: -0.020, l2: -0.00085, Time: 4.05
It: 4800, Loss: 6.369e+02, l1: -0.028, l2: -0.00120, Time: 4.12
It: 4900, Loss: 6.250e+02, l1: -0.034, l2: -0.00156, Time: 4.00
It: 5000, Loss: 6.146e+02, l1: -0.034, l2: -0.00155, Time: 4.16
It: 5100, Loss: 6.055e+02, l1: -0.025, l2: -0.00055, Time: 4.08
It: 5200, Loss: 5.976e+02, l1: -0.011, l2: 0.00094, Time: 3.89
It: 5300, Loss: 5.904e+02, l1: 0.013, l2: 0.00246, Time: 4.11
It: 5400, Loss: 5.839e+02, l1: 0.030, l2: 0.00341, Time: 4.11
It: 5500, Loss: 5.778e+02, l1: 0.046, l2: 0.00421, Time: 3.91
It: 5600, Loss: 5.720e+02, l1: 0.067, l2: 0.00569, Time: 3.90
It: 5700, Loss: 5.664e+02, l1: 0.094, l2: 0.00803, Time: 3.93
It: 5800, Loss: 5.609e+02, l1: 0.135, l2: 0.01170, Time: 4.40
It: 5900, Loss: 5.556e+02, l1: 0.180, l2: 0.01574, Time: 4.02
It: 6000, Loss: 5.504e+02, l1: 0.222, l2: 0.01973, Time: 3.93
It: 6100, Loss: 5.452e+02, l1: 0.266, l2: 0.02386, Time: 3.94
It: 6200, Loss: 5.400e+02, l1: 0.312, l2: 0.02795, Time: 3.90
It: 6300, Loss: 5.345e+02, l1: 0.363, l2: 0.03239, Time: 3.89
It: 6400, Loss: 5.287e+02, l1: 0.415, l2: 0.03664, Time: 4.09
It: 6500, Loss: 5.226e+02, l1: 0.466, l2: 0.04091, Time: 4.01
It: 6600, Loss: 5.160e+02, l1: 0.512, l2: 0.04439, Time: 4.00
It: 6700, Loss: 5.077e+02, l1: 0.555, l2: 0.04734, Time: 4.01
It: 6800, Loss: 4.979e+02, l1: 0.607, l2: 0.05143, Time: 3.95
It: 6900, Loss: 4.873e+02, l1: 0.659, l2: 0.05561, Time: 3.94
It: 7000, Loss: 4.757e+02, l1: 0.706, l2: 0.05882, Time: 3.88
It: 7100, Loss: 4.629e+02, l1: 0.742, l2: 0.06110, Time: 3.94
It: 7200, Loss: 4.490e+02, l1: 0.770, l2: 0.06142, Time: 3.92
It: 7300, Loss: 4.347e+02, l1: 0.793, l2: 0.06065, Time: 3.82
It: 7400, Loss: 4.200e+02, l1: 0.810, l2: 0.05915, Time: 3.90
It: 7500, Loss: 4.050e+02, l1: 0.822, l2: 0.05704, Time: 3.94
It: 7600, Loss: 3.892e+02, l1: 0.833, l2: 0.05451, Time: 3.82
It: 7700, Loss: 3.728e+02, l1: 0.839, l2: 0.05221, Time: 3.81
It: 7800, Loss: 3.564e+02, l1: 0.842, l2: 0.05028, Time: 3.86
It: 7900, Loss: 3.400e+02, l1: 0.844, l2: 0.04829, Time: 3.88
It: 8000, Loss: 3.234e+02, l1: 0.846, l2: 0.04635, Time: 3.85
It: 8100, Loss: 3.064e+02, l1: 0.848, l2: 0.04459, Time: 3.94
It: 8200, Loss: 2.892e+02, l1: 0.849, l2: 0.04177, Time: 3.85
It: 8300, Loss: 2.701e+02, l1: 0.849, l2: 0.03847, Time: 3.87
It: 8400, Loss: 2.521e+02, l1: 0.845, l2: 0.03620, Time: 3.84
It: 8500, Loss: 2.371e+02, l1: 0.840, l2: 0.03364, Time: 3.85
It: 8600, Loss: 2.243e+02, l1: 0.836, l2: 0.03097, Time: 3.86
It: 8700, Loss: 2.130e+02, l1: 0.832, l2: 0.02850, Time: 3.90
It: 8800, Loss: 2.031e+02, l1: 0.830, l2: 0.02627, Time: 3.90
It: 8900, Loss: 1.943e+02, l1: 0.828, l2: 0.02447, Time: 3.82
It: 9000, Loss: 1.865e+02, l1: 0.827, l2: 0.02282, Time: 3.82
It: 9100, Loss: 1.796e+02, l1: 0.825, l2: 0.02141, Time: 3.86
It: 9200, Loss: 1.735e+02, l1: 0.824, l2: 0.02019, Time: 3.83
It: 9300, Loss: 1.683e+02, l1: 0.824, l2: 0.01919, Time: 3.84
It: 9400, Loss: 1.637e+02, l1: 0.823, l2: 0.01835, Time: 5.28
It: 9500, Loss: 1.596e+02, l1: 0.823, l2: 0.01765, Time: 4.13
It: 9600, Loss: 1.560e+02, l1: 0.824, l2: 0.01701, Time: 4.20
It: 9700, Loss: 1.528e+02, l1: 0.824, l2: 0.01649, Time: 4.02
It: 9800, Loss: 1.499e+02, l1: 0.825, l2: 0.01613, Time: 4.15
It: 9900, Loss: 1.473e+02, l1: 0.827, l2: 0.01600, Time: 4.06
It: 10000, Loss: 1.448e+02, l1: 0.828, l2: 0.01589, Time: 3.91
It: 10100, Loss: 1.424e+02, l1: 0.830, l2: 0.01575, Time: 4.31
It: 10200, Loss: 1.401e+02, l1: 0.832, l2: 0.01569, Time: 4.02
It: 10300, Loss: 1.380e+02, l1: 0.834, l2: 0.01531, Time: 4.14
It: 10400, Loss: 1.360e+02, l1: 0.835, l2: 0.01510, Time: 4.01
It: 10500, Loss: 1.343e+02, l1: 0.837, l2: 0.01492, Time: 4.15
It: 10600, Loss: 1.327e+02, l1: 0.838, l2: 0.01475, Time: 4.05
It: 10700, Loss: 1.313e+02, l1: 0.839, l2: 0.01461, Time: 3.91
It: 10800, Loss: 1.300e+02, l1: 0.841, l2: 0.01450, Time: 3.96
It: 10900, Loss: 1.288e+02, l1: 0.842, l2: 0.01428, Time: 3.89
It: 11000, Loss: 1.277e+02, l1: 0.843, l2: 0.01419, Time: 3.98
It: 11100, Loss: 1.266e+02, l1: 0.844, l2: 0.01404, Time: 3.90
It: 11200, Loss: 1.256e+02, l1: 0.844, l2: 0.01392, Time: 3.91
It: 11300, Loss: 1.246e+02, l1: 0.846, l2: 0.01378, Time: 3.91
It: 11400, Loss: 1.237e+02, l1: 0.847, l2: 0.01363, Time: 4.07
It: 11500, Loss: 1.228e+02, l1: 0.848, l2: 0.01364, Time: 3.93
It: 11600, Loss: 1.220e+02, l1: 0.848, l2: 0.01370, Time: 3.89
It: 11700, Loss: 1.211e+02, l1: 0.849, l2: 0.01358, Time: 3.86
It: 11800, Loss: 1.203e+02, l1: 0.850, l2: 0.01358, Time: 3.18
It: 11900, Loss: 1.194e+02, l1: 0.851, l2: 0.01357, Time: 3.88
It: 12000, Loss: 1.185e+02, l1: 0.851, l2: 0.01358, Time: 3.91
It: 12100, Loss: 1.177e+02, l1: 0.852, l2: 0.01353, Time: 4.03
