It: 0, Loss: 8.972e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.23
It: 100, Loss: 1.619e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.27
It: 200, Loss: 1.551e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.05
It: 300, Loss: 1.216e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.27
It: 400, Loss: 1.159e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.28
It: 500, Loss: 1.453e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.26
It: 600, Loss: 1.193e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.24
It: 700, Loss: 1.416e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.18
It: 800, Loss: 1.016e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 900, Loss: 9.942e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.25
It: 1000, Loss: 9.872e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.19
It: 1100, Loss: 9.870e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 1200, Loss: 9.831e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.27
It: 1300, Loss: 9.802e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.70
It: 1400, Loss: 9.695e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.26
It: 1500, Loss: 9.704e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.20
It: 1600, Loss: 9.672e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 1700, Loss: 9.699e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.20
It: 1800, Loss: 9.807e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.20
It: 1900, Loss: 9.720e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 2000, Loss: 9.729e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 2100, Loss: 9.657e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.22
It: 2200, Loss: 9.730e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 2300, Loss: 9.727e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 2400, Loss: 9.805e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 2500, Loss: 9.641e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 2600, Loss: 9.664e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 2700, Loss: 9.632e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 2800, Loss: 9.839e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
