torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.248e-01, lamd1: 1.000, lamd2: 0.01000, Time: 1.06
It: 100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 75.67
It: 200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.37
It: 300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.51
It: 400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.62
It: 500, Loss: 9.245e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.52
It: 600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.39
It: 700, Loss: 9.242e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.51
It: 800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.42
It: 900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.54
It: 1000, Loss: 9.238e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.41
It: 1100, Loss: 9.001e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.46
It: 1200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.54
It: 1300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.47
It: 1400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.35
It: 1500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.46
It: 1600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.43
It: 1700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.44
It: 1800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.48
It: 1900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.53
It: 2000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.67
It: 2100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.39
It: 2200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.37
It: 2300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.45
It: 2400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.49
It: 2500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.39
It: 2600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.62
It: 2700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.49
It: 2800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.36
It: 2900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.39
It: 3000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.33
It: 3100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.44
It: 3200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.34
It: 3300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.42
It: 3400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.43
It: 3500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.44
It: 3600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.47
It: 3700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.35
It: 3800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.40
It: 3900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.64
It: 4000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.60
It: 4100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.59
It: 4200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.58
It: 4300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.62
It: 4400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.40
It: 4500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.40
It: 4600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.42
It: 4700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.43
It: 4800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.47
It: 4900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.42
It: 5000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.50
It: 5100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.41
It: 5200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.57
It: 5300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.41
It: 5400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.31
It: 5500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.48
It: 5600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.42
It: 5700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.44
It: 5800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.67
It: 5900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.68
It: 6000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.32
It: 6100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.45
It: 6200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.44
It: 6300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.36
It: 6400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.38
It: 6500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.39
It: 6600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.36
It: 6700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.37
It: 6800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.35
It: 6900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.66
It: 7000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.41
It: 7100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.43
It: 7200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 76.43
