torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 6700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.27
It: 6800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.33
It: 6900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.32
It: 7000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.29
It: 7100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.33
It: 7200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.32
It: 7300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.27
It: 7400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.22
It: 7500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.38
It: 7600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.29
It: 7700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.34
It: 7800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.26
It: 7900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.34
It: 8000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.28
It: 8100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.35
It: 8200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.30
It: 8300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.29
It: 8400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.37
It: 8500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.32
It: 8600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.29
It: 8700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.35
It: 8800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.39
It: 8900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.31
It: 9000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.28
It: 9100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.33
It: 9200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.30
It: 9300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.26
It: 9400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.34
It: 9500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 18.31
