torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.324e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.19
It: 100, Loss: 1.012e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.46
It: 200, Loss: 9.733e-02, lamd1: 1.000, lamd2: 0.01000, Time: 16.62
It: 300, Loss: 4.292e-02, lamd1: 1.000, lamd2: 0.01000, Time: 16.69
It: 400, Loss: 1.525e-02, lamd1: 1.000, lamd2: 0.01000, Time: 17.18
It: 500, Loss: 1.045e-02, lamd1: 1.000, lamd2: 0.01000, Time: 16.71
It: 600, Loss: 1.056e-02, lamd1: 1.000, lamd2: 0.01000, Time: 16.66
It: 700, Loss: 7.965e-03, lamd1: 1.000, lamd2: 0.01000, Time: 16.96
It: 800, Loss: 5.610e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.24
It: 900, Loss: 4.370e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.04
It: 1000, Loss: 4.625e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.30
It: 1100, Loss: 4.169e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.16
It: 1200, Loss: 2.562e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.45
It: 1300, Loss: 4.799e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.61
It: 1400, Loss: 4.275e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.59
It: 1500, Loss: 2.470e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.08
It: 1600, Loss: 2.652e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.36
It: 1700, Loss: 2.033e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.97
It: 1800, Loss: 1.875e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.15
It: 1900, Loss: 1.879e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.59
It: 2000, Loss: 1.397e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.86
It: 2100, Loss: 1.329e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.49
It: 2200, Loss: 1.939e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.01
It: 2300, Loss: 1.057e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.95
It: 2400, Loss: 2.368e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.32
It: 2500, Loss: 1.169e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.73
It: 2600, Loss: 1.312e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.06
It: 2700, Loss: 3.048e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.36
It: 2800, Loss: 1.896e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.13
It: 2900, Loss: 3.824e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.01
It: 3000, Loss: 2.629e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.39
It: 3100, Loss: 2.021e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.65
It: 3200, Loss: 2.556e-03, lamd1: 1.000, lamd2: 0.01000, Time: 17.93
It: 3300, Loss: 2.219e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.00
It: 3400, Loss: 2.761e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.39
It: 3500, Loss: 1.382e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.68
It: 3600, Loss: 1.457e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.57
It: 3700, Loss: 2.531e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.57
It: 3800, Loss: 6.861e-04, lamd1: 1.000, lamd2: 0.01000, Time: 18.07
It: 3900, Loss: 2.224e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.11
It: 4000, Loss: 7.363e-04, lamd1: 1.000, lamd2: 0.01000, Time: 18.15
It: 4100, Loss: 1.031e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.92
It: 4200, Loss: 3.592e-03, lamd1: 1.000, lamd2: 0.01000, Time: 19.48
It: 4300, Loss: 7.682e-04, lamd1: 1.000, lamd2: 0.01000, Time: 19.43
It: 4400, Loss: 1.471e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.43
It: 4500, Loss: 1.952e-03, lamd1: 1.000, lamd2: 0.01000, Time: 18.21
