torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.210e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.13
It: 100, Loss: 1.281e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.18
It: 200, Loss: 1.024e-01, lamd1: 1.000, lamd2: 0.01000, Time: 8.18
It: 300, Loss: 9.887e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.88
It: 400, Loss: 9.835e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.02
It: 500, Loss: 9.752e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.36
It: 600, Loss: 9.782e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 700, Loss: 9.550e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.82
It: 800, Loss: 9.374e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.90
It: 900, Loss: 7.809e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.77
It: 1000, Loss: 6.906e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 1100, Loss: 5.406e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.75
It: 1200, Loss: 3.920e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.86
It: 1300, Loss: 2.352e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.64
It: 1400, Loss: 1.966e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.70
It: 1500, Loss: 1.835e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.21
It: 1600, Loss: 1.590e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.06
It: 1700, Loss: 1.601e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.45
It: 1800, Loss: 1.343e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.22
It: 1900, Loss: 1.300e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.71
It: 2000, Loss: 1.295e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.85
It: 2100, Loss: 1.222e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.29
It: 2200, Loss: 1.162e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 2300, Loss: 1.079e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 2400, Loss: 1.066e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.29
It: 2500, Loss: 1.116e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.21
It: 2600, Loss: 9.855e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.34
It: 2700, Loss: 9.775e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.18
It: 2800, Loss: 9.382e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.32
It: 2900, Loss: 8.347e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 3000, Loss: 8.418e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.21
It: 3100, Loss: 9.144e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 3200, Loss: 7.599e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.29
It: 3300, Loss: 7.579e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 3400, Loss: 6.801e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 3500, Loss: 6.591e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 3600, Loss: 6.860e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.35
It: 3700, Loss: 6.628e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 3800, Loss: 6.207e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.31
It: 3900, Loss: 5.933e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 4000, Loss: 5.585e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 4100, Loss: 6.557e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 4200, Loss: 5.850e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 4300, Loss: 5.315e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.35
It: 4400, Loss: 5.547e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.32
It: 4500, Loss: 5.011e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.23
It: 4600, Loss: 5.190e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.26
It: 4700, Loss: 5.238e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 4800, Loss: 4.770e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.35
It: 4900, Loss: 5.063e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.39
It: 5000, Loss: 6.240e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 5100, Loss: 4.907e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.35
It: 5200, Loss: 4.712e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.45
It: 5300, Loss: 4.329e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.26
It: 5400, Loss: 4.190e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 5500, Loss: 4.347e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.34
It: 5600, Loss: 5.072e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.29
It: 5700, Loss: 4.435e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.36
It: 5800, Loss: 4.208e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.21
It: 5900, Loss: 3.961e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.41
It: 6000, Loss: 3.948e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 6100, Loss: 4.367e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.32
It: 6200, Loss: 3.972e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.41
It: 6300, Loss: 4.828e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.34
It: 6400, Loss: 3.987e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.33
It: 6500, Loss: 3.846e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 6600, Loss: 3.654e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 6700, Loss: 3.749e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.34
It: 6800, Loss: 4.139e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 6900, Loss: 3.879e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.18
It: 7000, Loss: 3.579e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.31
It: 7100, Loss: 3.411e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.30
It: 7200, Loss: 3.409e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.29
It: 7300, Loss: 3.651e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 7400, Loss: 3.270e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.32
It: 7500, Loss: 3.459e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.27
It: 7600, Loss: 3.671e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.26
It: 7700, Loss: 4.014e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 7800, Loss: 4.063e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.36
It: 7900, Loss: 3.299e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.21
It: 8000, Loss: 3.148e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.78
It: 8100, Loss: 3.221e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.01
It: 8200, Loss: 2.971e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.04
It: 8300, Loss: 3.159e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.91
It: 8400, Loss: 3.090e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.09
It: 8500, Loss: 3.085e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 8600, Loss: 2.964e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.92
It: 8700, Loss: 3.109e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.50
It: 8800, Loss: 2.832e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.28
It: 8900, Loss: 2.996e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.45
It: 9000, Loss: 2.890e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.15
It: 9100, Loss: 2.698e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.60
It: 9200, Loss: 3.257e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.58
It: 9300, Loss: 2.832e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.43
It: 9400, Loss: 2.860e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.25
It: 9500, Loss: 2.742e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.16
It: 9600, Loss: 2.956e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.33
It: 9700, Loss: 2.909e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.27
It: 9800, Loss: 2.702e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.30
It: 9900, Loss: 3.093e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.26
It: 10000, Loss: 5.247e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.25
It: 10100, Loss: 2.386e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.21
It: 10200, Loss: 2.444e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.42
It: 10300, Loss: 2.430e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.46
It: 10400, Loss: 2.437e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 10500, Loss: 2.435e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.29
It: 10600, Loss: 2.439e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 10700, Loss: 2.391e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.29
It: 10800, Loss: 2.372e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.28
It: 10900, Loss: 2.342e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.22
It: 11000, Loss: 2.342e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.20
It: 11100, Loss: 2.387e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.22
It: 11200, Loss: 2.357e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.31
It: 11300, Loss: 2.382e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.25
It: 11400, Loss: 2.444e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.06
It: 11500, Loss: 2.333e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.05
It: 11600, Loss: 2.643e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.05
It: 11700, Loss: 2.508e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.11
It: 11800, Loss: 2.438e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.04
It: 11900, Loss: 2.265e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.96
It: 12000, Loss: 2.356e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.30
It: 12100, Loss: 2.328e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.41
It: 12200, Loss: 2.275e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.49
It: 12300, Loss: 2.497e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.49
It: 12400, Loss: 2.225e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.18
It: 12500, Loss: 2.433e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.07
It: 12600, Loss: 2.158e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.13
It: 12700, Loss: 2.191e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.23
It: 12800, Loss: 2.279e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.78
It: 12900, Loss: 2.137e-03, lamd1: 1.000, lamd2: 0.01000, Time: 8.75
