It: 6800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.63
It: 6900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 7.81
It: 7000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.32
It: 7100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.39
It: 7200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.45
It: 7300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.67
It: 7400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.55
It: 7500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.55
It: 7600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.70
It: 7700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.62
It: 7800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.69
It: 7900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.75
It: 8000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.93
It: 8100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.41
It: 8200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.86
It: 8300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.98
It: 8400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 9.02
It: 8500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.85
It: 8600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.57
It: 8700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02465, Time: 8.62
It: 8800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.87
It: 8900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.90
It: 9000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.78
It: 9100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.96
It: 9200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.09
It: 9300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.96
It: 9400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.97
It: 9500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.91
It: 9600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.80
It: 9700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.76
It: 9800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.87
It: 9900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.94
It: 10000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.92
It: 10100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.89
It: 10200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.91
It: 10300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.78
It: 10400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.96
It: 10500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.94
It: 10600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.79
It: 10700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.99
It: 10800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.03
It: 10900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.06
It: 11000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.09
It: 11100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.93
It: 11200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.83
It: 11300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.47
It: 11400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.88
It: 11500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.12
It: 11600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.10
It: 11700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.80
It: 11800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.56
It: 11900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.49
It: 12000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.60
It: 12100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.72
It: 12200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.86
It: 12300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.80
It: 12400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.95
It: 12500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.17
It: 12600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.84
It: 12700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.06
It: 12800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.07
It: 12900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.00
It: 13000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.21
It: 13100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.22
It: 13200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.07
It: 13300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.73
It: 13400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.18
It: 13500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.17
It: 13600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.12
It: 13700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.03
It: 13800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.01
It: 13900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.20
It: 14000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.53
It: 14100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.45
It: 14200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.37
It: 14300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.35
It: 14400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.36
It: 14500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.31
It: 14600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.29
It: 14700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.10
It: 14800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.34
It: 14900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.29
It: 15000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.33
It: 15100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.27
It: 15200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.10
It: 15300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.05
It: 15400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.57
It: 15500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.95
It: 15600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.86
It: 15700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.86
It: 15800, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.98
It: 15900, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 9.08
It: 16000, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.52
It: 16100, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.76
It: 16200, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 8.34
It: 16300, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.62
It: 16400, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.60
It: 16500, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.61
It: 16600, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.61
It: 16700, Loss: 8.945e-01, lamd1: 0.014, lamd2: -0.02466, Time: 7.58
