torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 300, test points: 1000
It: 0, Loss: 9.214e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.72
It: 100, Loss: 1.732e-01, lamd1: 1.000, lamd2: 0.01000, Time: 12.30
It: 200, Loss: 1.673e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.02
It: 300, Loss: 1.371e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.99
It: 400, Loss: 1.255e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.86
It: 500, Loss: 1.226e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.96
It: 600, Loss: 9.828e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.24
It: 700, Loss: 9.655e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.05
It: 800, Loss: 9.647e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.17
It: 900, Loss: 9.678e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.12
It: 1000, Loss: 9.592e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.21
It: 1100, Loss: 9.425e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.35
It: 1200, Loss: 9.511e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.08
It: 1300, Loss: 9.488e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.92
It: 1400, Loss: 9.178e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.06
It: 1500, Loss: 9.288e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.92
It: 1600, Loss: 7.919e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.94
It: 1700, Loss: 5.367e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.20
It: 1800, Loss: 4.843e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.78
It: 1900, Loss: 2.945e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.03
It: 2000, Loss: 2.232e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.11
It: 2100, Loss: 2.188e-02, lamd1: 1.000, lamd2: 0.01000, Time: 11.07
It: 2200, Loss: 1.213e-02, lamd1: 1.000, lamd2: 0.01000, Time: 13.09
It: 2300, Loss: 1.679e-02, lamd1: 1.000, lamd2: 0.01000, Time: 13.10
It: 2400, Loss: 9.379e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.09
It: 2500, Loss: 7.949e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.10
It: 2600, Loss: 8.666e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.12
It: 2700, Loss: 1.027e-02, lamd1: 1.000, lamd2: 0.01000, Time: 13.07
It: 2800, Loss: 7.948e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.09
It: 2900, Loss: 1.045e-02, lamd1: 1.000, lamd2: 0.01000, Time: 13.18
It: 3000, Loss: 5.102e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.19
It: 3100, Loss: 8.067e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.27
It: 3200, Loss: 6.498e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.17
It: 3300, Loss: 3.719e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.18
It: 3400, Loss: 5.565e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.16
It: 3500, Loss: 5.052e-03, lamd1: 1.000, lamd2: 0.01000, Time: 13.16
It: 3600, Loss: 5.305e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.86
It: 3700, Loss: 3.174e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.77
It: 3800, Loss: 2.803e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.18
It: 3900, Loss: 3.064e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.17
It: 4000, Loss: 3.981e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.17
It: 4100, Loss: 3.057e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.02
It: 4200, Loss: 3.225e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.07
It: 4300, Loss: 3.189e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.99
It: 4400, Loss: 2.819e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.12
It: 4500, Loss: 4.172e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.87
It: 4600, Loss: 2.692e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.04
It: 4700, Loss: 1.849e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.30
It: 4800, Loss: 1.982e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.09
It: 4900, Loss: 2.034e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.94
It: 5000, Loss: 3.894e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.70
It: 5100, Loss: 2.156e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.75
It: 5200, Loss: 2.104e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.86
It: 5300, Loss: 2.261e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.57
It: 5400, Loss: 2.002e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.79
It: 5500, Loss: 2.018e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.66
It: 5600, Loss: 2.166e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.99
It: 5700, Loss: 2.459e-03, lamd1: 1.000, lamd2: 0.01000, Time: 11.22
It: 5800, Loss: 2.497e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.98
It: 5900, Loss: 1.728e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.74
It: 6000, Loss: 2.880e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.75
It: 6100, Loss: 2.351e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.65
It: 6200, Loss: 2.196e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.59
It: 6300, Loss: 2.715e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.58
It: 6400, Loss: 1.684e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.45
It: 6500, Loss: 2.239e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.57
It: 6600, Loss: 2.360e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.86
