It: 0, Loss: 8.937e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.15
It: 100, Loss: 1.602e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.57
It: 200, Loss: 1.407e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 300, Loss: 1.238e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 400, Loss: 1.180e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 500, Loss: 1.380e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.64
It: 600, Loss: 1.017e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.65
It: 700, Loss: 1.003e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.62
It: 800, Loss: 9.932e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.63
It: 900, Loss: 9.886e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 1000, Loss: 9.853e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 1100, Loss: 9.811e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.63
It: 1200, Loss: 9.807e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 1300, Loss: 9.752e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 1400, Loss: 9.725e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 1500, Loss: 9.924e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.59
It: 1600, Loss: 9.816e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.57
It: 1700, Loss: 9.829e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.57
It: 1800, Loss: 9.734e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 1900, Loss: 9.891e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 2000, Loss: 9.766e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.64
It: 2100, Loss: 9.890e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.61
It: 2200, Loss: 9.796e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.62
It: 2300, Loss: 9.789e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.61
It: 2400, Loss: 9.746e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 2500, Loss: 1.017e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 2600, Loss: 9.703e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.59
It: 2700, Loss: 9.734e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.61
It: 2800, Loss: 9.712e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.64
It: 2900, Loss: 9.814e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.57
It: 3000, Loss: 9.793e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
It: 3100, Loss: 9.801e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.58
It: 3200, Loss: 9.708e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.63
It: 3300, Loss: 9.724e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.63
It: 3400, Loss: 9.700e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.61
It: 3500, Loss: 9.678e-02, lamd1: 1.000, lamd2: 0.01000, Time: 6.60
