torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.248e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.22
It: 100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.16
It: 200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.95
It: 300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.99
It: 400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.04
It: 500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.16
It: 600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.06
It: 700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.07
It: 800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.98
It: 900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.12
It: 1000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.15
It: 1100, Loss: 9.245e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.20
It: 1200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.34
It: 1300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.88
It: 1400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.48
It: 1500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.69
It: 1600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.48
It: 1700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.72
It: 1800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.59
It: 1900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.99
It: 2000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.29
It: 2100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.63
It: 2200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.50
It: 2300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.62
It: 2400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.52
It: 2500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.46
It: 2600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.54
It: 2700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.50
It: 2800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.39
It: 2900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.64
It: 3000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.61
It: 3100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 14.84
It: 3200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.71
It: 3300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.68
It: 3400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.63
It: 3500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.75
It: 3600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.66
It: 3700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.72
It: 3800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.62
It: 3900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.74
It: 4000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.75
It: 4100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.76
It: 4200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.74
It: 4300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.69
It: 4400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.65
It: 4500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.54
It: 4600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.58
It: 4700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.67
It: 4800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.67
It: 4900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.68
It: 5000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.64
It: 5100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.66
It: 5200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.74
It: 5300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 15.77
It: 5400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.34
It: 5500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.55
It: 5600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.56
It: 5700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.51
It: 5800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.54
It: 5900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.49
It: 6000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.46
It: 6100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 16.70
