It: 0, Loss: 9.071e-01, lamd1: 0.000, lamd2: -0.00002, Time: 0.15
It: 100, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03485, Time: 8.03
It: 200, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.55
It: 300, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.34
It: 400, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.38
It: 500, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.33
It: 600, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.49
It: 700, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.30
It: 800, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.34
It: 900, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.35
It: 1000, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.31
It: 1100, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 9.93
It: 1200, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 9.88
It: 1300, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.26
It: 1400, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.81
It: 1500, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 10.04
It: 1600, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 10.08
It: 1700, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 10.95
It: 1800, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.09
It: 1900, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.94
It: 2000, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.36
It: 2100, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.87
It: 2200, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.92
It: 2300, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.91
It: 2400, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.82
It: 2500, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.84
It: 2600, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.81
It: 2700, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03482, Time: 8.18
It: 2800, Loss: 9.046e-01, lamd1: -0.017, lamd2: 0.03482, Time: 7.31
It: 2900, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03480, Time: 7.40
It: 3000, Loss: 9.072e-01, lamd1: -0.017, lamd2: 0.03480, Time: 7.49
