It: 0, Loss: 2.727e-01, nu: 0.020, Time: 0.07
It: 100, Loss: 6.536e-02, nu: 0.020, Time: 6.74
It: 200, Loss: 5.788e-02, nu: 0.020, Time: 6.75
It: 300, Loss: 4.872e-02, nu: 0.020, Time: 6.89
It: 400, Loss: 2.419e-03, nu: 0.020, Time: 6.83
It: 500, Loss: 5.568e-04, nu: 0.020, Time: 6.96
It: 600, Loss: 2.778e-04, nu: 0.020, Time: 6.86
It: 700, Loss: 1.553e-04, nu: 0.020, Time: 6.63
It: 800, Loss: 1.206e-04, nu: 0.020, Time: 6.68
It: 900, Loss: 5.392e-04, nu: 0.020, Time: 6.76
It: 1000, Loss: 9.122e-05, nu: 0.020, Time: 6.77
It: 1100, Loss: 7.805e-05, nu: 0.020, Time: 6.66
It: 1200, Loss: 7.801e-05, nu: 0.020, Time: 6.61
It: 1300, Loss: 6.559e-05, nu: 0.020, Time: 6.66
It: 1400, Loss: 6.258e-05, nu: 0.020, Time: 6.77
It: 1500, Loss: 5.958e-05, nu: 0.020, Time: 6.73
It: 1600, Loss: 5.416e-05, nu: 0.020, Time: 6.69
It: 1700, Loss: 5.126e-05, nu: 0.020, Time: 6.59
It: 1800, Loss: 4.810e-05, nu: 0.020, Time: 6.80
It: 1900, Loss: 4.978e-05, nu: 0.020, Time: 5.86
It: 2000, Loss: 4.122e-05, nu: 0.020, Time: 5.02
It: 2100, Loss: 3.947e-05, nu: 0.020, Time: 4.95
It: 2200, Loss: 3.805e-05, nu: 0.020, Time: 5.00
It: 2300, Loss: 3.742e-05, nu: 0.020, Time: 4.94
It: 2400, Loss: 3.628e-05, nu: 0.020, Time: 5.00
It: 2500, Loss: 3.468e-05, nu: 0.020, Time: 5.00
It: 2600, Loss: 3.342e-05, nu: 0.020, Time: 4.98
It: 2700, Loss: 3.207e-05, nu: 0.020, Time: 5.00
It: 2800, Loss: 3.118e-05, nu: 0.020, Time: 4.93
It: 2900, Loss: 3.033e-05, nu: 0.020, Time: 4.96
It: 3000, Loss: 2.942e-05, nu: 0.020, Time: 5.00
It: 3100, Loss: 2.846e-05, nu: 0.020, Time: 5.01
It: 3200, Loss: 2.751e-05, nu: 0.020, Time: 4.94
It: 3300, Loss: 2.792e-05, nu: 0.020, Time: 4.99
It: 3400, Loss: 2.708e-05, nu: 0.020, Time: 4.97
It: 3500, Loss: 2.645e-05, nu: 0.020, Time: 4.99
It: 3600, Loss: 2.593e-05, nu: 0.020, Time: 5.05
It: 3700, Loss: 2.521e-05, nu: 0.020, Time: 5.24
It: 3800, Loss: 2.519e-05, nu: 0.020, Time: 6.17
It: 3900, Loss: 2.461e-05, nu: 0.020, Time: 6.11
It: 4000, Loss: 2.386e-05, nu: 0.020, Time: 6.10
It: 4100, Loss: 2.312e-05, nu: 0.020, Time: 6.17
It: 4200, Loss: 2.383e-05, nu: 0.020, Time: 6.25
It: 4300, Loss: 2.345e-05, nu: 0.020, Time: 6.28
It: 4400, Loss: 2.282e-05, nu: 0.020, Time: 6.24
It: 4500, Loss: 2.284e-05, nu: 0.020, Time: 6.22
It: 4600, Loss: 2.291e-05, nu: 0.020, Time: 6.29
It: 4700, Loss: 2.329e-05, nu: 0.020, Time: 5.33
It: 4800, Loss: 2.223e-05, nu: 0.020, Time: 5.26
It: 4900, Loss: 2.195e-05, nu: 0.020, Time: 5.20
It: 5000, Loss: 2.081e-05, nu: 0.020, Time: 5.25
It: 5100, Loss: 2.126e-05, nu: 0.020, Time: 6.54
It: 5200, Loss: 2.166e-05, nu: 0.020, Time: 6.69
It: 5300, Loss: 2.149e-05, nu: 0.020, Time: 6.74
It: 5400, Loss: 2.126e-05, nu: 0.020, Time: 6.69
It: 5500, Loss: 2.110e-05, nu: 0.020, Time: 6.87
It: 5600, Loss: 2.079e-05, nu: 0.020, Time: 6.87
It: 5700, Loss: 2.093e-05, nu: 0.020, Time: 6.74
It: 5800, Loss: 2.049e-05, nu: 0.020, Time: 6.79
It: 5900, Loss: 2.008e-05, nu: 0.020, Time: 6.93
It: 6000, Loss: 2.084e-05, nu: 0.020, Time: 6.89
It: 6100, Loss: 1.976e-05, nu: 0.020, Time: 6.89
It: 6200, Loss: 2.065e-05, nu: 0.020, Time: 6.89
It: 6300, Loss: 1.992e-05, nu: 0.020, Time: 6.83
It: 6400, Loss: 2.012e-05, nu: 0.020, Time: 6.73
It: 6500, Loss: 1.951e-05, nu: 0.020, Time: 6.76
It: 6600, Loss: 1.929e-05, nu: 0.020, Time: 6.38
It: 6700, Loss: 1.985e-05, nu: 0.020, Time: 6.77
It: 6800, Loss: 1.889e-05, nu: 0.020, Time: 6.86
It: 6900, Loss: 1.998e-05, nu: 0.020, Time: 6.78
It: 7000, Loss: 1.996e-05, nu: 0.020, Time: 6.37
It: 7100, Loss: 1.954e-05, nu: 0.020, Time: 6.45
It: 7200, Loss: 1.867e-05, nu: 0.020, Time: 6.42
It: 7300, Loss: 1.912e-05, nu: 0.020, Time: 6.43
It: 7400, Loss: 1.908e-05, nu: 0.020, Time: 6.40
It: 7500, Loss: 1.894e-05, nu: 0.020, Time: 6.24
It: 7600, Loss: 1.912e-05, nu: 0.020, Time: 6.41
It: 7700, Loss: 1.942e-05, nu: 0.020, Time: 6.38
It: 7800, Loss: 1.920e-05, nu: 0.020, Time: 6.41
It: 7900, Loss: 1.884e-05, nu: 0.020, Time: 6.45
It: 8000, Loss: 1.876e-05, nu: 0.020, Time: 6.52
It: 8100, Loss: 1.892e-05, nu: 0.020, Time: 6.46
It: 8200, Loss: 1.844e-05, nu: 0.020, Time: 6.49
It: 8300, Loss: 1.820e-05, nu: 0.020, Time: 6.51
It: 8400, Loss: 1.885e-05, nu: 0.020, Time: 6.57
It: 8500, Loss: 1.828e-05, nu: 0.020, Time: 6.42
It: 8600, Loss: 1.854e-05, nu: 0.020, Time: 6.33
It: 8700, Loss: 1.841e-05, nu: 0.020, Time: 6.48
It: 8800, Loss: 1.853e-05, nu: 0.020, Time: 6.49
It: 8900, Loss: 1.908e-05, nu: 0.020, Time: 6.33
It: 9000, Loss: 1.866e-05, nu: 0.020, Time: 6.33
It: 9100, Loss: 1.834e-05, nu: 0.020, Time: 6.29
It: 9200, Loss: 1.863e-05, nu: 0.020, Time: 6.42
It: 9300, Loss: 1.797e-05, nu: 0.020, Time: 6.34
It: 9400, Loss: 1.800e-05, nu: 0.020, Time: 6.45
It: 9500, Loss: 1.855e-05, nu: 0.020, Time: 6.42
It: 9600, Loss: 1.876e-05, nu: 0.020, Time: 6.40
It: 9700, Loss: 1.828e-05, nu: 0.020, Time: 6.24
It: 9800, Loss: 1.817e-05, nu: 0.020, Time: 6.41
It: 9900, Loss: 1.880e-05, nu: 0.020, Time: 6.44
It: 10000, Loss: 1.804e-05, nu: 0.020, Time: 6.34
It: 10100, Loss: 1.880e-05, nu: 0.020, Time: 6.47
It: 10200, Loss: 1.820e-05, nu: 0.020, Time: 6.40
It: 10300, Loss: 1.846e-05, nu: 0.020, Time: 6.41
It: 10400, Loss: 1.818e-05, nu: 0.020, Time: 6.46
It: 10500, Loss: 1.800e-05, nu: 0.020, Time: 6.30
It: 10600, Loss: 1.851e-05, nu: 0.020, Time: 6.29
It: 10700, Loss: 1.803e-05, nu: 0.020, Time: 6.24
It: 10800, Loss: 1.779e-05, nu: 0.020, Time: 6.37
It: 10900, Loss: 1.769e-05, nu: 0.020, Time: 6.29
It: 11000, Loss: 1.749e-05, nu: 0.020, Time: 6.28
It: 11100, Loss: 1.766e-05, nu: 0.020, Time: 6.29
It: 11200, Loss: 1.761e-05, nu: 0.020, Time: 6.33
It: 11300, Loss: 1.782e-05, nu: 0.020, Time: 6.37
It: 11400, Loss: 1.762e-05, nu: 0.020, Time: 6.38
It: 11500, Loss: 1.772e-05, nu: 0.020, Time: 6.38
It: 11600, Loss: 1.739e-05, nu: 0.020, Time: 6.44
It: 11700, Loss: 1.829e-05, nu: 0.020, Time: 6.27
It: 11800, Loss: 1.781e-05, nu: 0.020, Time: 6.34
It: 11900, Loss: 1.778e-05, nu: 0.020, Time: 6.44
It: 12000, Loss: 1.740e-05, nu: 0.020, Time: 6.17
It: 12100, Loss: 1.787e-05, nu: 0.020, Time: 6.27
It: 12200, Loss: 1.740e-05, nu: 0.020, Time: 6.46
It: 12300, Loss: 1.836e-05, nu: 0.020, Time: 6.39
It: 12400, Loss: 1.760e-05, nu: 0.020, Time: 6.59
It: 12500, Loss: 1.774e-05, nu: 0.020, Time: 6.66
It: 12600, Loss: 1.827e-05, nu: 0.020, Time: 6.72
It: 12700, Loss: 1.758e-05, nu: 0.020, Time: 6.72
It: 12800, Loss: 1.797e-05, nu: 0.020, Time: 6.76
It: 12900, Loss: 1.787e-05, nu: 0.020, Time: 6.62
It: 13000, Loss: 1.789e-05, nu: 0.020, Time: 6.73
It: 13100, Loss: 1.815e-05, nu: 0.020, Time: 6.69
It: 13200, Loss: 1.759e-05, nu: 0.020, Time: 6.80
It: 13300, Loss: 1.768e-05, nu: 0.020, Time: 7.04
It: 13400, Loss: 1.744e-05, nu: 0.020, Time: 7.19
It: 13500, Loss: 1.762e-05, nu: 0.020, Time: 6.83
It: 13600, Loss: 1.756e-05, nu: 0.020, Time: 7.03
It: 13700, Loss: 1.803e-05, nu: 0.020, Time: 7.55
It: 13800, Loss: 1.788e-05, nu: 0.020, Time: 6.83
It: 13900, Loss: 1.744e-05, nu: 0.020, Time: 6.99
It: 14000, Loss: 1.755e-05, nu: 0.020, Time: 7.24
It: 14100, Loss: 1.760e-05, nu: 0.020, Time: 6.49
It: 14200, Loss: 1.807e-05, nu: 0.020, Time: 6.26
It: 14300, Loss: 1.820e-05, nu: 0.020, Time: 7.05
It: 14400, Loss: 1.767e-05, nu: 0.020, Time: 7.27
It: 14500, Loss: 1.729e-05, nu: 0.020, Time: 7.35
It: 14600, Loss: 1.793e-05, nu: 0.020, Time: 7.43
It: 14700, Loss: 1.749e-05, nu: 0.020, Time: 7.35
It: 14800, Loss: 1.823e-05, nu: 0.020, Time: 7.32
It: 14900, Loss: 1.791e-05, nu: 0.020, Time: 7.31
It: 15000, Loss: 1.750e-05, nu: 0.020, Time: 6.99
It: 15100, Loss: 1.762e-05, nu: 0.020, Time: 7.13
It: 15200, Loss: 1.812e-05, nu: 0.020, Time: 7.35
It: 15300, Loss: 1.754e-05, nu: 0.020, Time: 6.72
It: 15400, Loss: 1.766e-05, nu: 0.020, Time: 6.98
It: 15500, Loss: 1.812e-05, nu: 0.020, Time: 7.34
It: 15600, Loss: 1.760e-05, nu: 0.020, Time: 7.23
It: 15700, Loss: 1.808e-05, nu: 0.020, Time: 7.21
It: 15800, Loss: 1.748e-05, nu: 0.020, Time: 7.23
It: 15900, Loss: 1.809e-05, nu: 0.020, Time: 7.24
It: 16000, Loss: 1.706e-05, nu: 0.020, Time: 7.14
It: 16100, Loss: 1.783e-05, nu: 0.020, Time: 7.25
It: 16200, Loss: 1.771e-05, nu: 0.020, Time: 7.28
It: 16300, Loss: 1.787e-05, nu: 0.020, Time: 7.43
It: 16400, Loss: 1.763e-05, nu: 0.020, Time: 7.31
It: 16500, Loss: 1.762e-05, nu: 0.020, Time: 7.31
It: 16600, Loss: 1.786e-05, nu: 0.020, Time: 7.33
It: 16700, Loss: 1.778e-05, nu: 0.020, Time: 7.33
It: 16800, Loss: 1.751e-05, nu: 0.020, Time: 7.27
It: 16900, Loss: 1.709e-05, nu: 0.020, Time: 7.39
It: 17000, Loss: 1.779e-05, nu: 0.020, Time: 7.45
It: 17100, Loss: 1.751e-05, nu: 0.020, Time: 7.28
It: 17200, Loss: 1.729e-05, nu: 0.020, Time: 7.15
It: 17300, Loss: 1.807e-05, nu: 0.020, Time: 7.24
It: 17400, Loss: 1.738e-05, nu: 0.020, Time: 7.17
It: 17500, Loss: 1.752e-05, nu: 0.020, Time: 7.26
It: 17600, Loss: 1.757e-05, nu: 0.020, Time: 7.46
It: 17700, Loss: 1.743e-05, nu: 0.020, Time: 7.75
It: 17800, Loss: 1.820e-05, nu: 0.020, Time: 7.61
It: 17900, Loss: 1.780e-05, nu: 0.020, Time: 7.37
It: 18000, Loss: 1.765e-05, nu: 0.020, Time: 7.48
It: 18100, Loss: 1.794e-05, nu: 0.020, Time: 7.58
It: 18200, Loss: 1.779e-05, nu: 0.020, Time: 7.54
It: 18300, Loss: 1.791e-05, nu: 0.020, Time: 7.59
It: 18400, Loss: 1.789e-05, nu: 0.020, Time: 7.31
It: 18500, Loss: 1.815e-05, nu: 0.020, Time: 7.70
It: 18600, Loss: 1.753e-05, nu: 0.020, Time: 7.52
It: 18700, Loss: 1.796e-05, nu: 0.020, Time: 7.84
It: 18800, Loss: 1.826e-05, nu: 0.020, Time: 7.79
It: 18900, Loss: 1.771e-05, nu: 0.020, Time: 7.79
It: 19000, Loss: 1.787e-05, nu: 0.020, Time: 7.56
It: 19100, Loss: 1.759e-05, nu: 0.020, Time: 7.59
It: 19200, Loss: 1.788e-05, nu: 0.020, Time: 7.61
It: 19300, Loss: 1.806e-05, nu: 0.020, Time: 7.51
It: 19400, Loss: 1.730e-05, nu: 0.020, Time: 7.50
It: 19500, Loss: 1.724e-05, nu: 0.020, Time: 7.32
It: 19600, Loss: 1.752e-05, nu: 0.020, Time: 6.70
It: 19700, Loss: 1.757e-05, nu: 0.020, Time: 6.73
It: 19800, Loss: 1.756e-05, nu: 0.020, Time: 6.62
It: 19900, Loss: 1.823e-05, nu: 0.020, Time: 7.42
It: 20000, Loss: 1.817e-05, nu: 0.020, Time: 7.37
It: 20100, Loss: 1.780e-05, nu: 0.020, Time: 7.43
It: 20200, Loss: 1.758e-05, nu: 0.020, Time: 7.38
It: 20300, Loss: 1.739e-05, nu: 0.020, Time: 7.15
It: 20400, Loss: 1.770e-05, nu: 0.020, Time: 7.31
It: 20500, Loss: 1.802e-05, nu: 0.020, Time: 6.98
It: 20600, Loss: 1.777e-05, nu: 0.020, Time: 7.18
It: 20700, Loss: 1.794e-05, nu: 0.020, Time: 7.25
It: 20800, Loss: 1.756e-05, nu: 0.020, Time: 7.36
It: 20900, Loss: 1.763e-05, nu: 0.020, Time: 7.38
It: 21000, Loss: 1.776e-05, nu: 0.020, Time: 7.56
It: 21100, Loss: 1.848e-05, nu: 0.020, Time: 7.83
It: 21200, Loss: 1.795e-05, nu: 0.020, Time: 7.54
It: 21300, Loss: 1.732e-05, nu: 0.020, Time: 7.26
It: 21400, Loss: 1.782e-05, nu: 0.020, Time: 7.31
It: 21500, Loss: 1.773e-05, nu: 0.020, Time: 6.84
It: 21600, Loss: 1.707e-05, nu: 0.020, Time: 6.42
It: 21700, Loss: 1.765e-05, nu: 0.020, Time: 6.76
It: 21800, Loss: 1.752e-05, nu: 0.020, Time: 5.90
It: 21900, Loss: 1.804e-05, nu: 0.020, Time: 5.96
It: 22000, Loss: 1.721e-05, nu: 0.020, Time: 5.98
It: 22100, Loss: 1.789e-05, nu: 0.020, Time: 6.32
It: 22200, Loss: 1.753e-05, nu: 0.020, Time: 7.76
It: 22300, Loss: 1.752e-05, nu: 0.020, Time: 7.81
It: 22400, Loss: 1.815e-05, nu: 0.020, Time: 7.74
It: 22500, Loss: 1.796e-05, nu: 0.020, Time: 7.76
It: 22600, Loss: 1.714e-05, nu: 0.020, Time: 7.70
It: 22700, Loss: 1.728e-05, nu: 0.020, Time: 7.77
It: 22800, Loss: 1.802e-05, nu: 0.020, Time: 7.82
It: 22900, Loss: 1.773e-05, nu: 0.020, Time: 7.78
It: 23000, Loss: 1.755e-05, nu: 0.020, Time: 7.88
It: 23100, Loss: 1.794e-05, nu: 0.020, Time: 6.95
It: 23200, Loss: 1.751e-05, nu: 0.020, Time: 5.36
It: 23300, Loss: 1.820e-05, nu: 0.020, Time: 5.44
It: 23400, Loss: 1.762e-05, nu: 0.020, Time: 5.52
It: 23500, Loss: 1.748e-05, nu: 0.020, Time: 5.56
It: 23600, Loss: 1.798e-05, nu: 0.020, Time: 5.42
It: 23700, Loss: 1.782e-05, nu: 0.020, Time: 5.47
It: 23800, Loss: 1.746e-05, nu: 0.020, Time: 5.30
It: 23900, Loss: 1.815e-05, nu: 0.020, Time: 5.37
It: 24000, Loss: 1.772e-05, nu: 0.020, Time: 5.44
It: 24100, Loss: 1.760e-05, nu: 0.020, Time: 5.30
It: 24200, Loss: 1.768e-05, nu: 0.020, Time: 5.32
It: 24300, Loss: 1.724e-05, nu: 0.020, Time: 5.21
It: 24400, Loss: 1.769e-05, nu: 0.020, Time: 5.34
It: 24500, Loss: 1.713e-05, nu: 0.020, Time: 5.50
It: 24600, Loss: 1.781e-05, nu: 0.020, Time: 5.44
