torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 1000, test points: 1000
It: 6700, Loss: 2.979e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.78
It: 6800, Loss: 2.393e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.78
It: 6900, Loss: 2.673e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.75
It: 7000, Loss: 2.614e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.80
It: 7100, Loss: 2.654e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.76
It: 7200, Loss: 2.091e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 7300, Loss: 2.608e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 7400, Loss: 4.343e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.69
It: 7500, Loss: 1.448e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.84
It: 7600, Loss: 1.955e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 7700, Loss: 4.327e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.70
It: 7800, Loss: 1.920e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.97
It: 7900, Loss: 7.152e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.15
It: 8000, Loss: 1.428e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.20
It: 8100, Loss: 2.778e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.30
It: 8200, Loss: 2.803e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 8300, Loss: 2.106e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 8400, Loss: 1.787e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.88
It: 8500, Loss: 2.865e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.95
It: 8600, Loss: 3.229e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.85
It: 8700, Loss: 2.264e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.92
It: 8800, Loss: 1.227e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.78
It: 8900, Loss: 1.593e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.76
It: 9000, Loss: 3.118e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.87
It: 9100, Loss: 3.694e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.83
It: 9200, Loss: 2.508e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.98
It: 9300, Loss: 1.584e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 9400, Loss: 1.659e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 9500, Loss: 2.989e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.92
It: 9600, Loss: 1.078e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 9700, Loss: 2.211e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 9800, Loss: 4.326e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 9900, Loss: 1.326e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.93
It: 10000, Loss: 2.239e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 10100, Loss: 7.656e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 10200, Loss: 7.507e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 10300, Loss: 7.367e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.04
It: 10400, Loss: 7.393e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 10500, Loss: 7.335e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 10600, Loss: 7.218e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.97
It: 10700, Loss: 7.056e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.95
It: 10800, Loss: 7.014e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 10900, Loss: 7.051e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
