It: 0, Loss: 8.845e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.10
It: 100, Loss: 1.671e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.24
It: 200, Loss: 1.539e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.16
It: 300, Loss: 8.825e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.08
It: 400, Loss: 8.638e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.04
It: 500, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.02
It: 600, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.97
It: 700, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.96
It: 800, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 6.97
It: 900, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.01
It: 1000, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.00
It: 1100, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 1200, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.11
It: 1300, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.08
It: 1400, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.12
It: 1500, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.10
It: 1600, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.11
It: 1700, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.14
It: 1800, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.11
It: 1900, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.14
It: 2000, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.15
It: 2100, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.14
It: 2200, Loss: 8.846e-01, lamd1: 1.000, lamd2: 0.01000, Time: 9.15
