It: 9400, Loss: 1.423e-06, nu: 0.020, Time: 25.50
It: 9500, Loss: 1.415e-06, nu: 0.020, Time: 25.47
It: 9600, Loss: 1.394e-06, nu: 0.020, Time: 25.34
It: 9700, Loss: 1.387e-06, nu: 0.020, Time: 25.39
It: 9800, Loss: 1.394e-06, nu: 0.020, Time: 25.37
It: 9900, Loss: 1.373e-06, nu: 0.020, Time: 25.02
It: 10000, Loss: 1.364e-06, nu: 0.020, Time: 25.49
It: 10100, Loss: 1.361e-06, nu: 0.020, Time: 25.26
It: 10200, Loss: 1.355e-06, nu: 0.020, Time: 25.05
It: 10300, Loss: 1.343e-06, nu: 0.020, Time: 24.89
It: 10400, Loss: 1.336e-06, nu: 0.020, Time: 24.80
It: 10500, Loss: 1.327e-06, nu: 0.020, Time: 24.98
It: 10600, Loss: 1.322e-06, nu: 0.020, Time: 25.02
It: 10700, Loss: 1.318e-06, nu: 0.020, Time: 25.30
It: 10800, Loss: 1.304e-06, nu: 0.020, Time: 25.19
It: 10900, Loss: 1.293e-06, nu: 0.020, Time: 24.94
It: 11000, Loss: 1.295e-06, nu: 0.020, Time: 25.38
It: 11100, Loss: 1.284e-06, nu: 0.020, Time: 25.35
It: 11200, Loss: 1.293e-06, nu: 0.020, Time: 25.34
It: 11300, Loss: 1.283e-06, nu: 0.020, Time: 25.46
It: 11400, Loss: 1.278e-06, nu: 0.020, Time: 25.39
It: 11500, Loss: 1.275e-06, nu: 0.020, Time: 25.18
It: 11600, Loss: 1.258e-06, nu: 0.020, Time: 25.15
It: 11700, Loss: 1.272e-06, nu: 0.020, Time: 25.79
It: 11800, Loss: 1.263e-06, nu: 0.020, Time: 25.42
It: 11900, Loss: 1.250e-06, nu: 0.020, Time: 25.18
It: 12000, Loss: 1.242e-06, nu: 0.020, Time: 25.45
It: 12100, Loss: 1.247e-06, nu: 0.020, Time: 25.24
It: 12200, Loss: 1.227e-06, nu: 0.020, Time: 25.40
It: 12300, Loss: 1.233e-06, nu: 0.020, Time: 25.33
It: 12400, Loss: 1.226e-06, nu: 0.020, Time: 25.32
It: 12500, Loss: 1.227e-06, nu: 0.020, Time: 25.49
It: 12600, Loss: 1.215e-06, nu: 0.020, Time: 25.24
It: 12700, Loss: 1.212e-06, nu: 0.020, Time: 25.47
It: 12800, Loss: 1.212e-06, nu: 0.020, Time: 24.36
It: 12900, Loss: 1.204e-06, nu: 0.020, Time: 23.09
It: 13000, Loss: 1.208e-06, nu: 0.020, Time: 23.37
It: 13100, Loss: 1.198e-06, nu: 0.020, Time: 23.51
It: 13200, Loss: 1.193e-06, nu: 0.020, Time: 22.32
It: 13300, Loss: 1.187e-06, nu: 0.020, Time: 20.21
It: 13400, Loss: 1.194e-06, nu: 0.020, Time: 20.14
It: 13500, Loss: 1.186e-06, nu: 0.020, Time: 20.33
It: 13600, Loss: 1.186e-06, nu: 0.020, Time: 20.30
It: 13700, Loss: 1.191e-06, nu: 0.020, Time: 20.18
It: 13800, Loss: 1.175e-06, nu: 0.020, Time: 20.28
It: 13900, Loss: 1.180e-06, nu: 0.020, Time: 20.19
It: 14000, Loss: 1.165e-06, nu: 0.020, Time: 20.25
It: 14100, Loss: 1.173e-06, nu: 0.020, Time: 20.36
It: 14200, Loss: 1.168e-06, nu: 0.020, Time: 20.24
It: 14300, Loss: 1.163e-06, nu: 0.020, Time: 20.06
It: 14400, Loss: 1.160e-06, nu: 0.020, Time: 20.40
It: 14500, Loss: 1.160e-06, nu: 0.020, Time: 20.42
It: 14600, Loss: 1.158e-06, nu: 0.020, Time: 20.28
It: 14700, Loss: 1.146e-06, nu: 0.020, Time: 20.49
It: 14800, Loss: 1.155e-06, nu: 0.020, Time: 20.32
It: 14900, Loss: 1.149e-06, nu: 0.020, Time: 20.28
It: 15000, Loss: 1.151e-06, nu: 0.020, Time: 20.14
It: 15100, Loss: 1.153e-06, nu: 0.020, Time: 20.17
It: 15200, Loss: 1.149e-06, nu: 0.020, Time: 20.37
It: 15300, Loss: 1.150e-06, nu: 0.020, Time: 20.46
It: 15400, Loss: 1.145e-06, nu: 0.020, Time: 17.96
It: 15500, Loss: 1.140e-06, nu: 0.020, Time: 15.86
It: 15600, Loss: 1.148e-06, nu: 0.020, Time: 15.85
It: 15700, Loss: 1.141e-06, nu: 0.020, Time: 15.84
It: 15800, Loss: 1.141e-06, nu: 0.020, Time: 15.85
It: 15900, Loss: 1.140e-06, nu: 0.020, Time: 15.87
It: 16000, Loss: 1.134e-06, nu: 0.020, Time: 15.93
It: 16100, Loss: 1.137e-06, nu: 0.020, Time: 15.87
It: 16200, Loss: 1.131e-06, nu: 0.020, Time: 15.86
It: 16300, Loss: 1.134e-06, nu: 0.020, Time: 15.74
It: 16400, Loss: 1.131e-06, nu: 0.020, Time: 15.78
It: 16500, Loss: 1.123e-06, nu: 0.020, Time: 15.74
It: 16600, Loss: 1.130e-06, nu: 0.020, Time: 15.73
It: 16700, Loss: 1.121e-06, nu: 0.020, Time: 15.79
It: 16800, Loss: 1.140e-06, nu: 0.020, Time: 15.77
It: 16900, Loss: 1.129e-06, nu: 0.020, Time: 15.81
It: 17000, Loss: 1.120e-06, nu: 0.020, Time: 15.87
It: 17100, Loss: 1.123e-06, nu: 0.020, Time: 15.81
It: 17200, Loss: 1.121e-06, nu: 0.020, Time: 15.79
It: 17300, Loss: 1.125e-06, nu: 0.020, Time: 15.76
It: 17400, Loss: 1.120e-06, nu: 0.020, Time: 15.80
It: 17500, Loss: 1.129e-06, nu: 0.020, Time: 15.74
It: 17600, Loss: 1.129e-06, nu: 0.020, Time: 15.74
It: 17700, Loss: 1.119e-06, nu: 0.020, Time: 15.77
It: 17800, Loss: 1.116e-06, nu: 0.020, Time: 15.75
It: 17900, Loss: 1.121e-06, nu: 0.020, Time: 15.76
It: 18000, Loss: 1.122e-06, nu: 0.020, Time: 15.80
