It: 0, Loss: 9.007e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.26
It: 100, Loss: 1.612e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 200, Loss: 1.632e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.44
It: 300, Loss: 1.547e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.41
It: 400, Loss: 1.563e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 500, Loss: 1.195e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.48
It: 600, Loss: 1.172e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.41
It: 700, Loss: 1.022e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.41
It: 800, Loss: 9.822e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 900, Loss: 9.733e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 1000, Loss: 9.691e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 1100, Loss: 9.682e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 1200, Loss: 9.779e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 1300, Loss: 9.830e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 1400, Loss: 9.992e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.43
It: 1500, Loss: 9.816e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 1600, Loss: 9.669e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.04
It: 1700, Loss: 9.802e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.08
It: 1800, Loss: 9.653e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.15
It: 1900, Loss: 9.977e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.06
It: 2000, Loss: 9.767e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 2100, Loss: 9.756e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.09
It: 2200, Loss: 9.664e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.08
It: 2300, Loss: 9.691e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.06
It: 2400, Loss: 9.696e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.11
It: 2500, Loss: 9.680e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 2600, Loss: 9.727e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 2700, Loss: 9.662e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 2800, Loss: 9.900e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 2900, Loss: 9.666e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.69
It: 3000, Loss: 9.657e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.69
It: 3100, Loss: 9.650e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.59
It: 3200, Loss: 9.778e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.13
It: 3300, Loss: 9.994e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.12
It: 3400, Loss: 9.696e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.06
It: 3500, Loss: 9.635e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.12
It: 3600, Loss: 9.733e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.15
It: 3700, Loss: 9.654e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.11
It: 3800, Loss: 9.634e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.12
It: 3900, Loss: 9.618e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.11
It: 4000, Loss: 9.622e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.11
It: 4100, Loss: 9.685e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.09
It: 4200, Loss: 9.618e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.16
It: 4300, Loss: 9.888e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.11
It: 4400, Loss: 9.814e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.09
It: 4500, Loss: 9.986e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.08
It: 4600, Loss: 8.900e-02, lamd1: 1.000, lamd2: 0.01000, Time: 8.08
It: 4700, Loss: 8.074e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.84
It: 4800, Loss: 7.660e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 4900, Loss: 6.803e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 5000, Loss: 5.146e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 5100, Loss: 3.045e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 5200, Loss: 2.263e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
