It: 0, Loss: 8.937e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.12
It: 100, Loss: 1.602e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.82
It: 200, Loss: 1.407e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.74
It: 300, Loss: 1.238e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.64
It: 400, Loss: 1.180e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 500, Loss: 1.380e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.65
It: 600, Loss: 1.017e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 700, Loss: 1.003e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 800, Loss: 9.932e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 900, Loss: 9.886e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 1000, Loss: 9.853e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 1100, Loss: 9.811e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.66
It: 1200, Loss: 9.807e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 1300, Loss: 9.752e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 1400, Loss: 9.725e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 1500, Loss: 9.924e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 1600, Loss: 9.816e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 1700, Loss: 9.829e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.78
It: 1800, Loss: 9.734e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.84
It: 1900, Loss: 9.891e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 2000, Loss: 9.766e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.86
It: 2100, Loss: 9.890e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.86
It: 2200, Loss: 9.796e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.82
It: 2300, Loss: 9.789e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.82
It: 2400, Loss: 9.746e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.85
It: 2500, Loss: 1.017e-01, lamd1: 1.000, lamd2: 0.01000, Time: 5.84
It: 2600, Loss: 9.703e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.78
It: 2700, Loss: 9.734e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.84
It: 2800, Loss: 9.712e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.83
It: 2900, Loss: 9.814e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.84
It: 3000, Loss: 9.793e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.82
It: 3100, Loss: 9.801e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.84
It: 3200, Loss: 9.708e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.87
It: 3300, Loss: 9.724e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.80
It: 3400, Loss: 9.700e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.85
It: 3500, Loss: 9.678e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.87
It: 3600, Loss: 9.693e-02, lamd1: 1.000, lamd2: 0.01000, Time: 5.92
It: 3700, Loss: 9.837e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 3800, Loss: 9.757e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 3900, Loss: 9.722e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 4000, Loss: 9.678e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 4100, Loss: 9.755e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 4200, Loss: 9.729e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 4300, Loss: 9.643e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 4400, Loss: 1.038e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 4500, Loss: 9.750e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 4600, Loss: 4.230e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 4700, Loss: 1.095e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 4800, Loss: 1.033e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 4900, Loss: 1.012e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 5000, Loss: 1.016e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 5100, Loss: 1.007e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 5200, Loss: 1.005e-01, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 5300, Loss: 9.971e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 5400, Loss: 9.953e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 5500, Loss: 9.928e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.64
It: 5600, Loss: 9.918e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 5700, Loss: 9.903e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 5800, Loss: 9.965e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 5900, Loss: 9.901e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 6000, Loss: 9.869e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 6100, Loss: 9.896e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.65
It: 6200, Loss: 9.865e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 6300, Loss: 9.832e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.67
It: 6400, Loss: 9.813e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 6500, Loss: 9.781e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 6600, Loss: 9.790e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 6700, Loss: 9.494e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 6800, Loss: 7.794e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 6900, Loss: 7.123e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 7000, Loss: 6.378e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 7100, Loss: 5.385e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 7200, Loss: 4.470e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 7300, Loss: 5.125e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 7400, Loss: 2.453e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 7500, Loss: 1.906e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 7600, Loss: 1.727e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 7700, Loss: 1.903e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 7800, Loss: 1.497e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 7900, Loss: 1.081e-02, lamd1: 1.000, lamd2: 0.01000, Time: 7.52
It: 8000, Loss: 9.293e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
