torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.245e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.12
It: 100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.50
It: 200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.46
It: 300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.50
It: 400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.41
It: 500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.46
It: 600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.25
It: 700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.28
It: 800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.56
It: 900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.70
It: 1000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.49
It: 1100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.78
It: 1200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.32
It: 1300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.72
It: 1400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.36
It: 1500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.28
It: 1600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.44
It: 1700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.52
It: 1800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.35
It: 1900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.40
It: 2000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.35
It: 2100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.24
It: 2200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.38
It: 2300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.38
It: 2400, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.51
It: 2500, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.46
It: 2600, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.41
It: 2700, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 12.72
It: 2800, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 12.22
It: 2900, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.31
It: 3000, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.23
It: 3100, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.36
It: 3200, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.39
It: 3300, Loss: 9.246e-01, lamd1: 1.000, lamd2: 0.01000, Time: 11.45
