torch.Size([1000000, 3])
Total samples in dataset: 1000000, collocation points: 999000, data poinst: 500, test points: 1000
It: 0, Loss: 9.261e-01, lamd1: 1.000, lamd2: 0.01000, Time: 0.10
It: 100, Loss: 1.145e-01, lamd1: 1.000, lamd2: 0.01000, Time: 10.37
It: 200, Loss: 9.969e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.45
It: 300, Loss: 8.500e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.54
It: 400, Loss: 3.581e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.27
It: 500, Loss: 1.714e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.91
It: 600, Loss: 1.222e-02, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 700, Loss: 9.929e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 800, Loss: 1.163e-02, lamd1: 1.000, lamd2: 0.01000, Time: 10.19
It: 900, Loss: 7.630e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.99
It: 1000, Loss: 7.670e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.17
It: 1100, Loss: 4.686e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.37
It: 1200, Loss: 4.248e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.46
It: 1300, Loss: 5.401e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.55
It: 1400, Loss: 5.020e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.01
It: 1500, Loss: 8.600e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 1600, Loss: 5.333e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 1700, Loss: 6.556e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.30
It: 1800, Loss: 3.341e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.50
It: 1900, Loss: 6.222e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.32
It: 2000, Loss: 3.801e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.11
It: 2100, Loss: 3.191e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 2200, Loss: 4.667e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.83
It: 2300, Loss: 2.999e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 2400, Loss: 2.593e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.90
It: 2500, Loss: 3.670e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.53
It: 2600, Loss: 2.838e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 2700, Loss: 2.010e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.94
It: 2800, Loss: 2.845e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.71
It: 2900, Loss: 2.584e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.93
It: 3000, Loss: 3.093e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.94
It: 3100, Loss: 3.135e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.81
It: 3200, Loss: 1.684e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.70
It: 3300, Loss: 4.564e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.85
It: 3400, Loss: 1.931e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.68
It: 3500, Loss: 1.578e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.84
It: 3600, Loss: 2.331e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.73
It: 3700, Loss: 2.120e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.68
It: 3800, Loss: 2.596e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.66
It: 3900, Loss: 1.755e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 4000, Loss: 3.782e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.18
It: 4100, Loss: 2.179e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.33
It: 4200, Loss: 1.324e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 4300, Loss: 2.379e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.83
It: 4400, Loss: 5.377e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.84
It: 4500, Loss: 2.156e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.93
It: 4600, Loss: 1.286e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.93
It: 4700, Loss: 3.198e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 4800, Loss: 1.090e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 4900, Loss: 1.545e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.26
It: 5000, Loss: 2.799e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 5100, Loss: 1.262e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.13
It: 5200, Loss: 9.297e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.31
It: 5300, Loss: 1.207e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.34
It: 5400, Loss: 1.382e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 5500, Loss: 1.086e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 5600, Loss: 1.615e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.15
It: 5700, Loss: 1.721e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.20
It: 5800, Loss: 9.310e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 5900, Loss: 8.529e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 6000, Loss: 1.876e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.00
It: 6100, Loss: 1.392e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 6200, Loss: 8.970e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 6300, Loss: 1.171e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.98
It: 6400, Loss: 1.320e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.74
It: 6500, Loss: 1.907e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 6600, Loss: 9.914e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 6700, Loss: 1.237e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.93
It: 6800, Loss: 1.145e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.21
It: 6900, Loss: 1.513e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.83
It: 7000, Loss: 1.146e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.01
It: 7100, Loss: 1.426e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.97
It: 7200, Loss: 1.122e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.96
It: 7300, Loss: 1.280e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.54
It: 7400, Loss: 8.773e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.29
It: 7500, Loss: 6.707e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.26
It: 7600, Loss: 1.907e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 7700, Loss: 2.245e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 7800, Loss: 8.474e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 7900, Loss: 7.049e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.97
It: 8000, Loss: 7.326e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.92
It: 8100, Loss: 7.466e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.03
It: 8200, Loss: 9.010e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.18
It: 8300, Loss: 2.882e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.17
It: 8400, Loss: 9.446e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.15
It: 8500, Loss: 1.022e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.48
It: 8600, Loss: 1.160e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.59
It: 8700, Loss: 1.083e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.55
It: 8800, Loss: 2.476e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.52
It: 8900, Loss: 1.386e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.28
It: 9000, Loss: 1.481e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.20
It: 9100, Loss: 8.225e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.52
It: 9200, Loss: 1.077e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.37
It: 9300, Loss: 9.577e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.33
It: 9400, Loss: 9.879e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.90
It: 9500, Loss: 1.341e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.40
It: 9600, Loss: 8.208e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.12
It: 9700, Loss: 1.238e-03, lamd1: 1.000, lamd2: 0.01000, Time: 10.02
It: 9800, Loss: 7.478e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.61
It: 9900, Loss: 6.209e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.77
It: 10000, Loss: 1.393e-03, lamd1: 1.000, lamd2: 0.01000, Time: 9.94
It: 10100, Loss: 3.419e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.79
It: 10200, Loss: 3.476e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.98
It: 10300, Loss: 3.281e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 10400, Loss: 3.277e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.93
It: 10500, Loss: 3.443e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.10
It: 10600, Loss: 3.308e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.06
It: 10700, Loss: 3.180e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.99
It: 10800, Loss: 3.207e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.72
It: 10900, Loss: 3.300e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.38
It: 11000, Loss: 3.166e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.07
It: 11100, Loss: 3.376e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.38
It: 11200, Loss: 3.157e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.36
It: 11300, Loss: 7.798e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.05
It: 11400, Loss: 3.615e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.16
It: 11500, Loss: 4.434e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.04
It: 11600, Loss: 3.409e-04, lamd1: 1.000, lamd2: 0.01000, Time: 9.83
It: 11700, Loss: 7.584e-04, lamd1: 1.000, lamd2: 0.01000, Time: 10.04
