It: 6800, Loss: 2.707e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 6900, Loss: 3.490e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 7000, Loss: 2.141e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 7100, Loss: 1.482e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 7200, Loss: 3.243e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.06
It: 7300, Loss: 1.801e-03, lamd1: 1.000, lamd2: 0.01000, Time: 5.82
It: 7400, Loss: 1.175e-03, lamd1: 1.000, lamd2: 0.01000, Time: 5.82
It: 7500, Loss: 1.317e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.17
It: 7600, Loss: 1.522e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 7700, Loss: 2.342e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 7800, Loss: 1.962e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 7900, Loss: 2.498e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.07
It: 8000, Loss: 1.718e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 8100, Loss: 1.569e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.28
It: 8200, Loss: 9.819e-04, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 8300, Loss: 2.072e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.17
It: 8400, Loss: 1.461e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.31
It: 8500, Loss: 1.223e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 8600, Loss: 1.879e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 8700, Loss: 2.396e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.24
It: 8800, Loss: 1.144e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.22
It: 8900, Loss: 1.255e-03, lamd1: 1.000, lamd2: 0.01000, Time: 6.25
It: 9000, Loss: 3.130e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.47
It: 9100, Loss: 1.190e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 9200, Loss: 1.230e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 9300, Loss: 1.933e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 9400, Loss: 8.628e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.64
It: 9500, Loss: 9.799e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 9600, Loss: 1.215e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 9700, Loss: 1.812e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 9800, Loss: 1.439e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 9900, Loss: 1.647e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.58
It: 10000, Loss: 1.106e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.66
It: 10100, Loss: 5.390e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 10200, Loss: 5.270e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 10300, Loss: 5.164e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 10400, Loss: 5.066e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 10500, Loss: 4.973e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.60
It: 10600, Loss: 4.883e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.62
It: 10700, Loss: 4.795e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 10800, Loss: 4.708e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 10900, Loss: 4.622e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 11000, Loss: 4.537e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 11100, Loss: 4.452e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 11200, Loss: 6.928e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
It: 11300, Loss: 5.813e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.51
It: 11400, Loss: 6.031e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.46
It: 11500, Loss: 1.418e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 11600, Loss: 5.804e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.48
It: 11700, Loss: 7.079e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 11800, Loss: 1.654e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.61
It: 11900, Loss: 5.486e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.64
It: 12000, Loss: 4.125e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.88
It: 12100, Loss: 6.326e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.88
It: 12200, Loss: 1.014e-03, lamd1: 1.000, lamd2: 0.01000, Time: 7.79
It: 12300, Loss: 6.510e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.74
It: 12400, Loss: 6.117e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.88
It: 12500, Loss: 7.979e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.70
It: 12600, Loss: 6.319e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 12700, Loss: 8.036e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.56
It: 12800, Loss: 7.616e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.67
It: 12900, Loss: 5.029e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 13000, Loss: 4.133e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.63
It: 13100, Loss: 7.142e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 13200, Loss: 8.218e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.57
It: 13300, Loss: 4.364e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.50
It: 13400, Loss: 7.016e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.59
It: 13500, Loss: 8.451e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.55
It: 13600, Loss: 5.149e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 13700, Loss: 8.948e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.48
It: 13800, Loss: 4.160e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.49
It: 13900, Loss: 4.705e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.53
It: 14000, Loss: 4.453e-04, lamd1: 1.000, lamd2: 0.01000, Time: 7.54
