It: 7400, Loss: 8.850e+01, l1: 0.872, l2: 0.01108, Time: 5.02
It: 7500, Loss: 8.795e+01, l1: 0.872, l2: 0.01192, Time: 4.43
It: 7600, Loss: 8.794e+01, l1: 0.873, l2: 0.01125, Time: 4.39
It: 7700, Loss: 8.735e+01, l1: 0.872, l2: 0.01188, Time: 4.07
It: 7800, Loss: 8.706e+01, l1: 0.873, l2: 0.01192, Time: 4.13
It: 7900, Loss: 8.679e+01, l1: 0.873, l2: 0.01202, Time: 4.60
It: 8000, Loss: 8.664e+01, l1: 0.874, l2: 0.01138, Time: 4.34
It: 8100, Loss: 8.615e+01, l1: 0.874, l2: 0.01189, Time: 4.01
It: 8200, Loss: 8.585e+01, l1: 0.874, l2: 0.01180, Time: 4.29
It: 8300, Loss: 8.558e+01, l1: 0.874, l2: 0.01207, Time: 4.48
It: 8400, Loss: 8.529e+01, l1: 0.875, l2: 0.01183, Time: 4.14
It: 8500, Loss: 8.503e+01, l1: 0.875, l2: 0.01168, Time: 4.49
It: 8600, Loss: 8.477e+01, l1: 0.875, l2: 0.01211, Time: 4.17
It: 8700, Loss: 8.451e+01, l1: 0.876, l2: 0.01180, Time: 4.93
It: 8800, Loss: 8.425e+01, l1: 0.876, l2: 0.01180, Time: 4.56
It: 8900, Loss: 8.399e+01, l1: 0.877, l2: 0.01176, Time: 4.35
It: 9000, Loss: 8.374e+01, l1: 0.877, l2: 0.01188, Time: 4.97
It: 9100, Loss: 8.348e+01, l1: 0.878, l2: 0.01175, Time: 4.40
It: 9200, Loss: 8.324e+01, l1: 0.878, l2: 0.01166, Time: 4.35
It: 9300, Loss: 8.300e+01, l1: 0.879, l2: 0.01192, Time: 5.07
It: 9400, Loss: 8.288e+01, l1: 0.879, l2: 0.01198, Time: 4.52
It: 9500, Loss: 8.251e+01, l1: 0.879, l2: 0.01175, Time: 4.46
It: 9600, Loss: 8.229e+01, l1: 0.880, l2: 0.01170, Time: 4.22
It: 9700, Loss: 8.207e+01, l1: 0.880, l2: 0.01184, Time: 4.39
It: 9800, Loss: 8.185e+01, l1: 0.880, l2: 0.01187, Time: 4.73
It: 9900, Loss: 8.164e+01, l1: 0.881, l2: 0.01173, Time: 4.11
It: 10000, Loss: 8.164e+01, l1: 0.881, l2: 0.01176, Time: 4.82
It: 10100, Loss: 8.133e+01, l1: 0.881, l2: 0.01174, Time: 4.45
It: 10200, Loss: 8.122e+01, l1: 0.881, l2: 0.01173, Time: 3.75
It: 10300, Loss: 8.112e+01, l1: 0.881, l2: 0.01173, Time: 4.46
It: 10400, Loss: 8.100e+01, l1: 0.882, l2: 0.01174, Time: 4.49
It: 10500, Loss: 8.089e+01, l1: 0.882, l2: 0.01174, Time: 4.30
It: 10600, Loss: 8.077e+01, l1: 0.882, l2: 0.01174, Time: 4.86
It: 10700, Loss: 8.064e+01, l1: 0.882, l2: 0.01175, Time: 4.88
It: 10800, Loss: 8.051e+01, l1: 0.882, l2: 0.01175, Time: 4.22
It: 10900, Loss: 8.038e+01, l1: 0.883, l2: 0.01176, Time: 4.37
It: 11000, Loss: 8.024e+01, l1: 0.883, l2: 0.01177, Time: 4.38
It: 11100, Loss: 8.010e+01, l1: 0.883, l2: 0.01178, Time: 4.06
It: 11200, Loss: 7.996e+01, l1: 0.883, l2: 0.01179, Time: 4.35
It: 11300, Loss: 7.981e+01, l1: 0.884, l2: 0.01180, Time: 3.97
It: 11400, Loss: 7.966e+01, l1: 0.884, l2: 0.01188, Time: 4.51
It: 11500, Loss: 7.950e+01, l1: 0.884, l2: 0.01183, Time: 4.47
It: 11600, Loss: 7.935e+01, l1: 0.885, l2: 0.01185, Time: 4.04
It: 11700, Loss: 7.921e+01, l1: 0.885, l2: 0.01182, Time: 4.21
