Wall time,Step,Value
1650830477.880191,500,0.0787261500954628
1650830488.9258997,600,0.07268843054771423
1650830532.6330287,1000,0.06787402927875519
1650830543.8131196,1100,0.06589757651090622
1650830565.6379142,1300,0.059403419494628906
1650830576.557128,1400,0.05787517502903938
1650830587.6294787,1500,0.054548587650060654
1650830609.858957,1700,0.019207919016480446
1650830620.8612034,1800,0.01593664661049843
1650830632.0029013,1900,0.0063009727746248245
1650830643.0235875,2000,0.0038466649129986763
1650830687.3921633,2400,0.0015305903507396579
1650830786.290959,3300,0.0005134756793268025
1650830797.4702027,3400,0.0011826473055407405
1650830819.3877351,3600,0.00035880159703083336
1650830852.364514,3900,0.0009061660384759307
1650830863.1154532,4000,0.0005930671468377113
1650830885.5936053,4200,0.00040536068263463676
1650830907.799191,4400,0.00028036534786224365
1650830918.8817344,4500,0.00023735228751320392
1650830940.8520324,4700,0.0004237746470607817
1650830962.8641467,4900,0.000336096272803843
1650830974.332719,5000,0.00027434263029135764
1650831007.9456568,5300,0.0004188822058495134
1650831019.9346013,5400,0.00018461896979715675
1650831030.9740841,5500,0.0004813159175682813
1650831041.8323328,5600,0.00015096562856342643
1650831052.573973,5700,0.0003440911241341382
1650831085.1833987,6000,0.00045997268171049654
1650831096.2023313,6100,0.00038245535688474774
1650831117.5329928,6300,0.0004240255802869797
1650831138.8529747,6500,0.0005472222692333162
1650831149.325625,6600,0.0001220983249368146
1650831159.8223257,6700,0.0003821094869635999
1650831170.4492805,6800,0.0003461900632828474
1650831202.4678016,7100,0.0003278052026871592
1650831213.0047517,7200,0.0005428193253464997
1650831223.588234,7300,0.00028254816425032914
1650831234.177852,7400,0.00040673831244930625
1650831255.3173988,7600,7.247976463986561e-05
1650831287.1878676,7900,8.71892916620709e-05
1650831340.928054,8400,0.00012931144738104194
1650831351.804993,8500,0.00044035352766513824
1650831362.5026577,8600,0.00014577746333088726
1650831373.307886,8700,0.0003502486797515303
1650831383.8616462,8800,0.00017662360914982855
1650831394.2758029,8900,0.00022962420189287513
1650831447.8874078,9400,5.425860217656009e-05
1650831534.47093,10200,2.459410097799264e-05
1650831566.8687375,10500,2.3007261916063726e-05
1650831577.5841212,10600,2.240467983938288e-05
1650831654.041127,11300,3.3297063055215403e-05
1650831686.9838321,11600,2.5717527023516595e-05
1650831708.635923,11800,3.561141056707129e-05
1650831719.3762693,11900,0.00018720999651122838
1650831730.0034556,12000,8.04488081485033e-05
1650831772.222404,12400,9.471976227359846e-05
1650831782.982043,12500,8.57267077662982e-05
1650831793.5307052,12600,5.465871072374284e-05
1650831825.6748254,12900,7.911889406386763e-05
1650831836.400587,13000,0.00014453254698310047
1650831868.5574064,13300,3.4815329854609445e-05
