Wall time,Step,Value
1650830478.5521781,500,0.05942153185606003
1650830489.778985,600,0.03179881349205971
1650830534.771811,1000,0.0218398068100214
1650830546.1156197,1100,0.022261803969740868
1650830567.73676,1300,0.021284280344843864
1650830578.5504782,1400,0.020953534170985222
1650830589.4285362,1500,0.024217192083597183
1650830611.018032,1700,0.02082023210823536
1650830621.6644351,1800,0.021058063954114914
1650830632.5050254,1900,0.02076813578605652
1650830643.3739448,2000,0.029649198055267334
1650830687.1639283,2400,0.01272192969918251
1650830786.0812302,3300,0.002437015064060688
1650830797.2466571,3400,0.004558531101793051
1650830818.957954,3600,0.001758660888299346
1650830851.700742,3900,0.008265724405646324
1650830862.4711728,4000,0.003518038894981146
1650830884.6205697,4200,0.0014788173139095306
1650830906.4751823,4400,0.0015230007702484727
1650830917.5878646,4500,0.0017590929055586457
1650830939.4365299,4700,0.0017783952644094825
1650830961.3771336,4900,0.0012333197519183159
1650830972.7158525,5000,0.0010780927259474993
1650831005.4089618,5300,0.0015566478250548244
1650831016.1519701,5400,0.0013003874337300658
1650831026.9929414,5500,0.0013635337818413973
1650831037.5980542,5600,0.001596085843630135
1650831048.2402773,5700,0.0020449324510991573
1650831080.1118755,6000,0.0038338887970894575
1650831091.002293,6100,0.0013180477544665337
1650831112.3566976,6300,0.0005375291220843792
1650831133.3796074,6500,0.0018425768939778209
1650831143.9499316,6600,0.0029924677219241858
1650831154.3007553,6700,0.00036814084160141647
1650831164.6850386,6800,0.00033848235034383833
1650831197.341311,7100,0.0010171119356527925
1650831210.1548429,7200,0.0005635317647829652
1650831223.017464,7300,0.000346683053066954
1650831235.8697293,7400,0.00032821096829138696
1650831261.5854764,7600,0.0007256949902512133
1650831300.0226662,7900,0.0006018867716193199
1650831364.1621919,8400,0.00047724321484565735
1650831376.9980035,8500,0.000962098827585578
1650831389.7830641,8600,0.0020593649242073298
1650831402.554459,8700,0.001257126103155315
1650831415.4008417,8800,0.0004036589525640011
1650831428.2411177,8900,0.00041646126192063093
1650831491.5071094,9400,0.0010777487186715007
1650831592.5306692,10200,0.00010870597907342017
1650831630.3433218,10500,0.000102611978945788
1650831642.9251947,10600,0.0001031918145599775
1650831731.2426631,11300,0.00012835061352234334
1650831769.2000096,11600,0.000748098420444876
1650831794.6745188,11800,0.0003788247995544225
1650831807.3307693,11900,0.00010484459198778495
1650831820.0041056,12000,0.00016990693984553218
1650831868.4002762,12400,0.0006716491770930588
1650831879.054817,12500,0.0002772433217614889
1650831889.6503425,12600,0.00013096198381390423
1650831921.517222,12900,0.0004476319008972496
1650831931.9069223,13000,0.0006463389727286994
1650831964.1540213,13300,0.00017434566689189523
1650832008.5363185,13700,0.00016497862816322595
1650832029.9028943,13900,0.00010918183397734538
1650832051.3071814,14100,0.0001451661082683131
1650832061.9716065,14200,0.0006307382718659937
1650832072.5114107,14300,0.00026907463325187564
1650832083.986518,14400,0.00013042351929470897
1650832135.7173007,14800,0.00014940972323529422
1650832161.9582288,15000,0.0001270085631404072
1650832200.7145214,15300,0.0002595926634967327
1650832213.7465975,15400,0.0006162810605019331
1650832226.636252,15500,0.00024949724320322275
1650832252.6188078,15700,0.0002349609712837264
1650832265.8942199,15800,0.00023398151097353548
1650832278.808462,15900,7.653280044905841e-05
1650832317.1615138,16200,0.00024187425151467323
1650832343.0465252,16400,0.000308008398860693
1650832354.419957,16500,0.0003257699136156589
1650832376.3546946,16700,0.0006962241604924202
1650832387.4058244,16800,8.528908074367791e-05
1650832420.2800214,17100,0.00012633323785848916
1650832474.6621327,17600,0.0001151369433500804
1650832485.4267304,17700,0.00031254818895831704
1650832496.2221944,17800,0.0001793267874745652
1650832517.927476,18000,0.00024848993052728474
1650832528.7734866,18100,0.0006042072782292962
1650832550.161462,18300,0.00012317986693233252
1650832571.7135067,18500,0.00022370564693119377
1650832582.5053105,18600,0.00018763892876449972
1650832593.3470736,18700,0.00043066884973086417
1650832604.1101654,18800,0.00023488122678827494
1650832625.4101827,19000,0.00031619847868569195
1650832636.1758435,19100,0.0006043572793714702
1650832710.7831976,19800,0.00014407551498152316
1650832753.9238732,20200,4.5175904233474284e-05
1650832797.6700268,20600,4.4878175685880706e-05
1650832808.501526,20700,4.5167933421907946e-05
1650832819.381975,20800,4.5515909732785076e-05
1650832862.0854368,21200,4.552775135380216e-05
1650832893.9649591,21500,0.00013407153892330825
1650832926.0676231,21800,5.176202466827817e-05
1650832936.582704,21900,0.0001717258128337562
1650832968.0612118,22200,5.862231773789972e-05
1650832978.529926,22300,8.317797619383782e-05
1650832999.7608752,22500,7.092154555721208e-05
1650833010.223647,22600,8.253510895883664e-05
1650833020.7035356,22700,5.3913259762339294e-05
1650833041.3569617,22900,0.00012152937415521592
1650833051.7841778,23000,7.002949860179797e-05
1650833072.8534753,23200,6.768603634554893e-05
1650833083.4357183,23300,0.00010202972771367058
1650833093.6921675,23400,6.997972377575934e-05
1650833125.2183328,23700,5.826020424137823e-05
1650833156.3768392,24000,0.00011699544120347127
1650833208.629316,24500,5.2003408200107515e-05
1650833229.6503465,24700,0.00017243849288206547
1650833250.6200597,24900,5.661155591951683e-05
1650833261.1721227,25000,4.409989924170077e-05
1650833320.1654367,25500,8.640521264169365e-05
1650833358.1844406,25800,0.00013305504398886114
1650833370.8788447,25900,6.345279689412564e-05
1650833383.5228183,26000,9.141152258962393e-05
1650833396.223421,26100,0.00013032613787800074
1650833421.602365,26300,0.00014056697546038777
1650833472.2948875,26700,6.37153789284639e-05
1650833497.6953094,26900,0.00011824785178760067
1650833522.9656732,27100,9.352629422210157e-05
1650833548.4510567,27300,0.00012480825535021722
1650833611.844615,27800,3.995715451310389e-05
1650833637.2861776,28000,4.044550223625265e-05
1650833687.9885972,28400,6.580220360774547e-05
1650833750.5716949,28900,6.158831820357591e-05
1650833772.0473197,29100,6.770444451831281e-05
1650833782.675562,29200,0.00015014289238024503
1650833814.4005666,29500,3.946194556192495e-05
1650833835.7776995,29700,0.00020784525258932263
1650833846.5741348,29800,7.170999742811546e-05
1650833857.2170324,29900,4.718835771200247e-05
1650833878.916182,30100,3.227795968996361e-05
1650833889.3428617,30200,3.323645069031045e-05
1650833900.0198,30300,3.2361785997636616e-05
1650833942.6433372,30700,3.244769686716609e-05
1650833953.6682153,30800,3.2053729228209704e-05
1650833975.4781067,31000,3.290408130851574e-05
1650834007.6101892,31300,3.4636850614333525e-05
1650834050.5092824,31700,3.6851044569630176e-05
1650834061.0849526,31800,5.5468339269282296e-05
1650834071.6333675,31900,4.23649325966835e-05
1650834082.323542,32000,3.445782931521535e-05
1650834103.2588913,32200,3.682524766190909e-05
1650834134.9661303,32500,4.4479977077571675e-05
1650834145.570721,32600,8.907534356694669e-05
1650834156.0939014,32700,3.3697688195388764e-05
1650834187.5018864,33000,3.510226815706119e-05
1650834197.8590531,33100,3.512971306918189e-05
1650834218.9758115,33300,3.7486679502762854e-05
1650834282.4127862,33900,7.302472658921033e-05
1650834303.958852,34100,3.2743424526415765e-05
1650834335.5568202,34400,8.140459976857528e-05
1650834345.885272,34500,3.450231452006847e-05
1650834367.00391,34700,3.1860978197073564e-05
1650834377.4896421,34800,3.237669443478808e-05
1650834430.7937033,35300,3.815958552877419e-05
1650834441.3629036,35400,3.15771067107562e-05
1650834462.7369208,35600,5.898782183066942e-05
1650834484.0006497,35800,3.545176514307968e-05
1650834494.519119,35900,3.2303447369486094e-05
1650834505.0841646,36000,3.4410739317536354e-05
1650834537.0075538,36300,5.153793972567655e-05
1650834547.7299728,36400,4.778492439072579e-05
1650834579.7942038,36700,5.728476389776915e-05
1650834590.5016136,36800,3.7812726077390835e-05
1650834611.474825,37000,3.7161120417295024e-05
1650834622.1100845,37100,3.968515375163406e-05
1650834643.222928,37300,5.3472402214538306e-05
1650834686.005596,37700,3.089254460064694e-05
1650834696.5981798,37800,3.385513264220208e-05
1650834707.3356931,37900,3.314931018394418e-05
1650834728.7127793,38100,4.569132943288423e-05
1650834739.2503917,38200,3.797867975663394e-05
1650834770.7337577,38500,3.3027903555193916e-05
1650834781.3186336,38600,3.1975232559489086e-05
1650834791.8870695,38700,3.5170272894902155e-05
1650834802.55701,38800,3.575126902433112e-05
1650834823.7785983,39000,3.7726436858065426e-05
1650834834.120588,39100,6.478661816800013e-05
1650834844.8180013,39200,4.4993459596298635e-05
1650834855.7709465,39300,2.9605495001305826e-05
1650834952.394927,40200,2.6624338715919293e-05
1650834963.2781188,40300,2.701612356759142e-05
1650834986.1876597,40500,2.6520414394326508e-05
1650835023.9383414,40800,2.6861258447752334e-05
1650835112.5650353,41500,2.8429931262508035e-05
1650835125.2052915,41600,2.7047806725022383e-05
1650835175.8160858,42000,2.7998732548439875e-05
1650835188.4459593,42100,2.8439369998523034e-05
1650835201.059594,42200,3.0021232305443846e-05
1650835226.2629974,42400,4.499392525758594e-05
1650835250.8380358,42600,2.5648361770436168e-05
1650835293.1462247,43000,3.398232001927681e-05
1650835389.6069098,43900,2.8209806259837933e-05
1650835400.3564484,44000,3.450410804362036e-05
1650835410.9913983,44100,2.989746462844778e-05
1650835421.5908608,44200,2.6620122298481874e-05
1650835443.0422904,44400,3.0804654670646414e-05
1650835453.6893406,44500,2.7263888114248402e-05
1650835485.555891,44800,2.9500726668629795e-05
1650835517.3630512,45100,3.0351267923833802e-05
1650835591.3009856,45800,3.278980511822738e-05
1650835601.683652,45900,2.6687179342843592e-05
1650835612.2413695,46000,2.5525243472657166e-05
1650835622.7124362,46100,2.709608270379249e-05
1650835643.8196568,46300,2.6818743208423257e-05
1650835654.4212618,46400,3.300417301943526e-05
1650835664.8781655,46500,2.470711297064554e-05
1650835685.987185,46700,2.7691219656844623e-05
1650835696.768333,46800,2.5496578018646687e-05
1650835707.7581902,46900,2.600622974568978e-05
1650835729.445973,47100,2.5201834432664327e-05
1650835751.472572,47300,2.440599382680375e-05
1650835762.5202446,47400,2.7529786166269332e-05
1650835805.6841104,47800,2.554599086579401e-05
