Wall time,Step,Value
1651007970.0438104,0,0.2705056071281433
1651007976.6777875,100,0.05211903154850006
1651007983.3773334,200,0.048541050404310226
1651007989.8439217,300,0.04499911144375801
1651007996.36185,400,0.013823075219988823
1651008002.908586,500,0.0008334617014043033
1651008009.3353777,600,0.0009132230188697577
1651008015.779003,700,5.1247574447188526e-05
1651008022.1056724,800,4.1719515138538554e-05
1651008028.5200036,900,4.146316132391803e-05
1651008035.100291,1000,2.484240940248128e-05
1651008041.6039665,1100,2.153654713765718e-05
1651008048.2092857,1200,1.9281294953543693e-05
1651008054.6926837,1300,1.7621099686948583e-05
1651008061.3397164,1400,1.595472713233903e-05
1651008067.8451374,1500,1.442965822207043e-05
1651008074.5505128,1600,1.3186073374527041e-05
1651008081.0687392,1700,1.1946302947762888e-05
1651008087.6930082,1800,1.0942597327812109e-05
1651008094.3797286,1900,1.0105130058946088e-05
1651008101.0331995,2000,1.2799985597666819e-05
1651008107.715508,2100,8.705835170985665e-06
1651008114.3754892,2200,8.344443813257385e-06
1651008121.0104656,2300,8.002016329555772e-06
1651008127.658283,2400,7.66842822486069e-06
1651008134.3791125,2500,7.342472599702887e-06
1651008141.039151,2600,7.048170118650887e-06
1651008147.7791529,2700,6.753167781425873e-06
1651008154.4566386,2800,6.450444743677508e-06
1651008161.058025,2900,6.17923296886147e-06
1651008167.6946623,3000,5.887025054107653e-06
1651008174.2279613,3100,5.773712018708466e-06
1651008180.703432,3200,5.606479135167319e-06
1651008187.040389,3300,5.498133759829216e-06
1651008193.4789546,3400,5.3778826440975536e-06
1651008199.9842386,3500,5.222662366577424e-06
1651008206.4168143,3600,5.058324859419372e-06
1651008212.842771,3700,4.931383955408819e-06
1651008219.3198617,3800,4.820392405235907e-06
1651008225.7904248,3900,4.711590918304864e-06
1651008232.1966603,4000,4.597966835717671e-06
1651008238.6725893,4100,4.502747287915554e-06
1651008245.1810384,4200,4.473199169297004e-06
1651008251.8152628,4300,4.396529220684897e-06
1651008258.2621384,4400,4.348352376837283e-06
1651008264.6983583,4500,4.289255230105482e-06
1651008271.0746558,4600,4.216916295263218e-06
1651008277.4610238,4700,4.159259333391674e-06
1651008283.9862943,4800,4.103052560822107e-06
1651008290.481798,4900,4.0278782762470655e-06
1651008296.7616098,5000,3.9814044612285215e-06
1651008303.034032,5100,3.94905464418116e-06
1651008309.563097,5200,3.900728188455105e-06
1651008316.0560749,5300,3.858710442727897e-06
1651008322.501986,5400,3.8639245758531615e-06
1651008328.9941194,5500,3.812914201262174e-06
1651008335.5851467,5600,3.7829881875950377e-06
1651008342.0590675,5700,3.72946146853792e-06
1651008348.4236104,5800,3.698498403537087e-06
1651008354.852494,5900,3.678119810501812e-06
1651008361.4373436,6000,3.6333826756163035e-06
1651008368.0057306,6100,3.6193289361108327e-06
1651008374.6062694,6200,3.5976856906927424e-06
1651008381.2052784,6300,3.5753123484028038e-06
